Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: p09at17a.csv,,,,,,,,,,,,,
"Appendix table 17a: Estimated percent of sentenced prisoners under state jurisdiction, by offense, sex, race, and Hispanic origin, yearend 2006",,,,,,,,,,,,,
Report title: Prisoners in 2009 NCJ 231675,,,,,,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,,,,,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,
"Date of version: October 25, 2011",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Appendix table 17a. Estimated percent of sentenced prisoners under state jurisdiction, by offense, sex, race, and Hispanic origin, yearend 2006",,,,,,,,,,,,,
Offense,,All inmates,,Male,,Female,,White/a,,Black/a,,Hispanic,
,Total,100,%,100,%,100,%,100,%,100,%,100,%
Violent,,52.1,%,53.4,%,34.5,%,49.4,%,53.5,%,54,%
,Murder/b,12.7,,12.8,,11.1,,10.8,,13.7,,13.1,
,Manslaughter,1.2,,1.1,,1.7,,1,,1.2,,1.6,
,Rape,4.9,,5.3,,0.5,,6.7,,4.3,,3.1,
,Other sexual assault,7,,7.5,,1.4,,11,,3.7,,7.7,
,Robbery,13.4,,13.9,,8.1,,8.2,,18.3,,12.5,
,Assault,10.1,,10.1,,8.5,,8.8,,9.7,,13.1,
,Other violent,2.8,,2.8,,3,,2.9,,2.6,,2.9,
Property,,19.4,%,18.6,%,29.8,%,25.3,%,15.8,%,16.4,%
,Burglary,9.5,,9.7,,6.5,,11.8,,8.3,,8,
,Larceny,3.7,,3.4,,8.5,,4.8,,3.2,,2.6,
,Motor vehicle theft,1.7,,1.7,,1.7,,1.9,,1,,3.1,
,Fraud,2.5,,1.9,,10.6,,3.9,,1.9,,1.1,
,Other property,2,,2,,2.4,,2.8,,1.4,,1.6,
Drug,,19.9,%,19.3,%,28.4,%,15.1,%,23.3,%,21.5,%
Public-order/c,,7.6,%,7.7,%,6,%,9.2,%,6.3,%,7.6,%
Other/unspecified/d,,1,%,1,%,1.3,%,1,%,1.1,%,0.6,%
Note: Totals based on prisoners with a sentence of more than 1 year. Detail may not add to total due to rounding.  See Methodology for estimation method.,,,,,,,,,,,,,
a/Excludes Hispanics and persons identifying two or more races.,,,,,,,,,,,,,
b/Includes non-negligent manslaughter.,,,,,,,,,,,,,
"c/Includes weapons, drunk driving, court offenses, commercialized vice, morals and decency offenses, liquor law violations, and other public-order offenses.",,,,,,,,,,,,,
d/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,,,,,
