Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: p09at17b.csv,,,,,,,,,,,,,
"Appendix table 17b: Estimated percent of sentenced prisoners under state jurisdiction, by offense, sex, race, and Hispanic origin, yearend 2007",,,,,,,,,,,,,
Report title: Prisoners in 2009 NCJ 231675,,,,,,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,,,,,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,
"Date of version: October 25, 2011",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Appendix table 17b. Estimated percent of sentenced prisoners under state jurisdiction, by offense, sex, race, and Hispanic origin, yearend 2007",,,,,,,,,,,,,
Offense,,All inmates,,Male,,Female,,White/a,,Black/a,,Hispanic,
,Total,100,%,100,%,100,%,100,%,100,%,100,%
Violent,,51.2,%,52.5,%,33.6,%,48.7,%,52.3,%,53.2,%
,Murder/b,12.4,,12.5,,11,,11.1,,13.2,,12.7,
,Manslaughter,1.1,,1.1,,1.5,,0.6,,1.2,,2.2,
,Rape,5.2,,5.5,,0.6,,7,,4.5,,3.4,
,Other sexual assault,6.1,,6.4,,1.2,,9.7,,3.1,,6.4,
,Robbery,13.2,,13.6,,7.6,,8.1,,17.6,,12.3,
,Assault,10.1,,10.3,,8.2,,9,,9.9,,13,
,Other violent,3.1,,3,,3.5,,3.2,,2.9,,3.4,
Property,,19.6,%,18.7,%,31,%,26.2,%,15.5,%,16.5,%
,Burglary,9.3,,9.5,,6.7,,12,,8.1,,7.4,
,Larceny,3.9,,3.6,,9,,5.3,,3.3,,2.7,
,Motor vehicle theft,1.7,,1.7,,1.9,,1.9,,0.9,,3.4,
,Fraud,2.5,,1.9,,10.9,,4,,1.8,,1.1,
,Other property,2.1,,2,,2.5,,3,,1.5,,1.7,
Drug,,20.2,%,19.6,%,28.2,%,14.8,%,24,%,21.7,%
Public-order/c,,7.6,%,7.8,%,5.9,%,9,%,6.4,%,7.8,%
Other/unspecified/d,,1.4,%,1.4,%,1.4,%,1.3,%,1.7,%,0.8,%
Note: Totals based on prisoners with a sentence of more than 1 year. Detail may not add to total due to rounding. See Methodology for estimation method.,,,,,,,,,,,,,
a/Excludes Hispanics and persons identifying two or more races.,,,,,,,,,,,,,
b/Includes non-negligent manslaughter.,,,,,,,,,,,,,
"c/Includes weapons, drunk driving, court offenses, commercialized vice, morals and decency offenses, liquor law violations, and other public-order offenses.",,,,,,,,,,,,,
d/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,,,,,
