Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: p09at17c.csv,,,,,,,,,,,,,
"Appendix table 17c: Estimated percent of sentenced prisoners under state jurisdiction, by offense, sex, race, and Hispanic origin, yearend 2008",,,,,,,,,,,,,
Report title: Prisoners in 2009 NCJ 231675,,,,,,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,,,,,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,
"Date of version: October 25, 2011",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Appendix table 17c. Estimated percent of sentenced prisoners under state jurisdiction, by offense, sex, race, and Hispanic origin, yearend 2008",,,,,,,,,,,,,
Offense,,All inmates,,Male,,Female,,White/a,,Black/a,,Hispanic,
,Total,100,%,100,%,100,%,100,%,100,%,100,%
Violent,,52.4,%,53.8,%,35.6,%,49.8,%,54.1,%,54.1,%
,Murder/b,12.9,,13,,11.8,,11.2,,14.3,,12.7,
,Manslaughter,1,,1,,1.3,,0.5,,1,,1.7,
,Rape,4.9,,5.3,,0.7,,6.8,,4.1,,3.3,
,Other sexual assault,7.4,,7.8,,1.5,,11.3,,4,,8,
,Robbery,13.6,,14,,8.7,,8.3,,18.5,,13,
,Assault,9.9,,10.1,,8.5,,8.8,,9.7,,12.5,
,Other violent,2.6,,2.6,,3.2,,2.7,,2.4,,2.9,
Property,,18.4,%,17.7,%,29,%,24.4,%,15,%,15.3,%
,Burglary,9.1,,9.3,,6.6,,11.3,,7.9,,7.7,
,Larceny,3.5,,3.2,,8.1,,4.7,,3.1,,2.5,
,Motor vehicle theft,1.6,,1.6,,1.7,,1.9,,0.9,,2.5,
,Fraud,2.4,,1.9,,10.2,,3.9,,1.8,,1.1,
,Other property,1.8,,1.8,,2.3,,2.7,,1.3,,1.4,
Drug,,18.4,%,17.8,%,26.9,%,14.1,%,21.9,%,19,%
Public-orderc,,9.2,%,9.4,%,7.2,%,10.6,%,7.3,%,11,%
Other/unspecifiedd,,1.3,%,1.3,%,1.4,%,1.2,%,1.7,%,0.6,%
Note: Totals based on prisoners with a sentence of more than 1 year. Detail may not add to total due to rounding.  See Methodology for estimation method.,,,,,,,,,,,,,
a/Excludes Hispanics and persons identifying two or more races.,,,,,,,,,,,,,
b/Includes non-negligent manslaughter.,,,,,,,,,,,,,
"c/Includes weapons, drunk driving, court offenses, commercialized vice, morals and decency offenses, liquor law violations, and other public-order offenses.",,,,,,,,,,,,,
d/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,,,,,
