Bureau of Justice Statistics,,,,,,,,
Filename: p09at18.csv,,,,,,,,
"Appendix table 18: Number of sentenced prisoners in federal prison, by most serious offense, 2000, 2008, and 2009",,,,,,,,
Report title: Prisoners in 2009 NCJ 231675,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,
"Date of version: December 21, 2010",,,,,,,,
,,,,,,,,
"Appendix table 18. Number of sentenced prisoners in federal prison, by most serious offense, 2000, 2008, and 2009",,,,,,,,
Offense,,2000,2008,2009,"Average annual change, 2000-2008",,"Percent change, 2008-2009",
,Total,"131,739","182,333","187,886",4.1,%,3,%
Violent,,"13,740","15,483","14,773",1.5,%,-4.6,%
,Homicide/a,"1,363","2,949","2,818",10.1,,-4.5,
,Robbery,"9,712","8,718","8,257",-1.3,,-5.3,
,Other violent,"2,665","3,817","3,698",4.6,,-3.1,
Property,,"10,135","11,080","10,913",1.1,%,-1.5,%
,Burglary,462,475,419,0.4,,-12,
,Fraud,"7,506","7,728","7,717",0.4,,-0.1,
,Other property,"2,167","2,876","2,777",3.6,,-3.4,
Drug,,"74,276","95,079","95,205",3.1,%,0.1,%
Public-order,,"32,325","59,298","65,678",7.9,%,10.8,%
,Immigration,"13,676","19,678","21,395",4.7,,8.7,
,Weapons,"10,822","26,942","27,499",12.1,,2.1,
,Other,"7,827","12,678","15,467",6.2,,22,
Other/unspecified/b,,"1,263","1,394","1,317",1.2,%,-5.5,%
Note: Based on prisoners with a sentence of more than 1 year. All data are for September 30 from the BJS Federal Justice Statistics Program.  ,,,,,,,,
"a/Includes murder, negligent, and non-negligent manslaughter.",,,,,,,,
b/Includes offenses not classified.,,,,,,,,
