Bureau of Justice Statistics,,,,,,
Filename: p09t07.csv,,,,,,
"Table 7: Estimated number of sentenced prisoners under state jurisdiction, by offense category, 2000 and 2008",,,,,,
Report title: Prisoners in 2009 NCJ 231675,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,
"Date of version: December 21, 2010",,,,,,
,,,,,,
"Table 7. Estimated number of sentenced prisoners under state jurisdiction, by offense category, 2000 and 2008",,,,,,
Offense category,,2000,2008,"Change, 2000-2008",Percent of total change,
,Total,"1,206,200","1,365,400","159,200",100,%
Violent/a,,"620,000","715,400","95,400",59.9,
Property/b,,"246,000","251,800","5,800",3.6,
Drug,,"263,800","251,400","-12,400",-7.8,
Public-order/c,,"72,400","125,900","53,500",33.6,
Other/unspecified/d,,"4,100","17,800","13,700",8.6,
Note: Numbers were estimated and rounded to the nearest 100.,,,,,,
"a/Includes murder, non-negligent manslaughter, manslaughter, rape, other sexual assault, robbery, assault, and other violent offenses.",,,,,,
"b/Includes burglary, larceny, motor vehicle theft, fraud, and other property crimes.",,,,,,
"c/Includes weapons, drunk driving, court offenses, commercialized vice, morals and decency offenses, liquor law violations, and other public-order offenses.",,,,,,
d/Includes juvenile offenses and other unspecified offense categories.,,,,,,
