Bureau of Justice Statistics,,,,
Filename: p09t09.csv,,,,
"Table 9: Actual and expected number of sentenced prisoners in state prison, by offense category, 2008",,,,
Report title: Prisoners in 2009 NCJ 231675,,,,
"Data source: National Prisoner Statistics, 1b",,,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,
"Date of version: December 21, 2010",,,,
 ,,,,
"Table 9. Actual and expected number of sentenced prisoners in state prison, by offense category, 2008",,,,
,,Number of sentenced state prisoners,,
Offense category,,Actual,Expected/a,Difference
,Total,"1,365,400","1,449,200","83,800"
Violent/b,,"715,400","755,700","40,300"
Property/c,,"251,800","296,800","45,000"
Drug,,"251,400","283,600","32,200"
Public-order/d,,"125,900","99,700","-26,200"
Other/unspecified/e,,"17,800","13,400","-4,400"
Note: Based on prisoners with a sentence of more than 1 year as reported in the National Corrections Reporting Program (NCRP) and the National Prisoner Statistics (NPS) data collection. See Methodology.,,,,
a/Expected number of sentenced prisoners in state prison if the length of stay for the referenced offense category had remained constant at its 2000 level.,,,,
"b/Includes murder, non-negligent manslaughter, manslaughter, rape, other sexual assault, robbery, assault, and other violent offenses.",,,,
"c/Includes burglary, larceny, motor vehicle theft, fraud, and other property crimes.",,,,
"d/Includes weapons, drunk driving, court offenses, commercialized vice, morals and decency offenses, liquor law violations, and other public-order offenses.",,,,
e/Includes juvenile offenses and other unspecified offense categories.,,,,
