Bureau of Justice Statistics,,,,,
Filename: p09t10.csv,,,,,
"Table 10: Estimated number of admissions into state prison, by offense category, 2000, 2007, and 2008",,,,,
Report title: Prisoners in 2009 NCJ 231675,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,
"Date of version: December 21, 2010",,,,,
 ,,,,,
"Table 10. Estimated number of admissions into state prison, by offense category, 2000, 2007, and 2008",,,,,
Offense category,,2000,2007,2008,"Difference, 2000-2008"
,Total,"580,900","646,500","679,300","98,300"
Violent/a,,"157,000","170,200","184,600","27,600"
Property/b,,"169,200","197,800","201,700","32,500"
Drug,,"190,700","193,700","194,200","3,400"
Public-order/c,,"61,100","80,600","94,700","33,600"
Other/unspecified/d,,"2,900","4,100","4,100","1,200"
Note: Based on prisoners with a sentence of more than 1 year as reported in the National Corrections Reporting Program (NCRP) and the National Prisoner Statistics (NPS) data collection. Number of admissions may not sum to total due to rounding. See Methodology.,,,,,
"a/Includes murder, non-negligent manslaughter, manslaughter, rape, other sexual assault, robbery, assault, and other violent offenses.",,,,,
"b/Includes burglary, larceny, motor vehicle theft, fraud, and other property crimes.",,,,,
"c/Includes weapons, drunk driving, court offenses, commercialized vice, morals and decency offenses, liquor law violations, and other public-order offenses.",,,,,
d/Includes juvenile offenses and other unspecified offense categories.,,,,,
