Bureau of Justice Statistics,,,,,,,
Filename: p10at16a.csv,,,,,,,
"Appendix Table 16a. Estimated number of sentenced prisoners under state jurisdiction, by offense, sex, race, and Hispanic origin, December 31, 2008",,,,,,,
Report title: Prisoners in 2010 NCJ 236096,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,
"Author(s): Paul Guerino, Paige M. Harrison, and William J. Sabol",,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,
Date of version: 12/13/2011,,,,,,,
,,,,,,,
"Appendix Table 16a. Estimated number of sentenced prisoners under state jurisdiction, by offense, sex, race, and Hispanic origin, December 31, 2008",,,,,,,
Offense,,All inmates,Male,Female,White/a,Black/a,Hispanic
,Total,"1,365,400","1,270,600","94,800","532,000","584,800","209,000"
Violent,,"715,900","683,800","32,100","264,200","315,500","113,400"
,Murder/b,"175,200","165,400","9,800","54,300","83,600","30,400"
,Manslaughter,"16,500","14,500","1,900","7,900","6,400","1,600"
,Rape,"67,500","66,900",600,"35,500","23,600","6,400"
,Other sexual assault,"98,300","97,000","1,300","59,300","22,900","13,400"
,Robbery,"183,100","175,600","7,600","44,500","108,100","26,500"
,Assault,"137,100","129,200","7,900","47,400","56,500","28,000"
,Other violent,"38,400","35,300","3,100","15,200","14,600","7,100"
Property,,"263,400","235,000","28,400","132,200","90,100","33,900"
,Burglary,"129,800","123,100","6,500","63,000","48,300","15,300"
,Larceny,"50,400","42,400","8,000","24,900","18,400","5,800"
,Motor vehicle theft,"21,300","19,700","1,600","9,300","4,800","6,500"
,Fraud,"34,100","24,300","10,000","20,200",10600,"2,300"
,Other property,"27,800","25,400","2,300","14,900",8000,"4,000"
Drug,,"255,700","229,800","25,800","76,900","130,300","43,300"
Public-order/c,,"116,100","109,100","7,000","53,400","43,100","15,700"
Other/unspecified/d,,"14,300","12,900","1,400","5,300","5,700","2,800"
Note: Counts based on prisoners with a sentence of more than 1 year. Detail may not add to total due to rounding. See Methodology for estimation method.,,,,,,,
a/Excludes Hispanics and persons identifying as two or more races.,,,,,,,
b/Includes non-negligent manslaughter.,,,,,,,
"c/Includes weapons, drunk driving, court offenses, commercialized vice, morals and decency offenses, liquor law violations, and other public-order offenses.",,,,,,,
d/Includes juvenile offenses and other unspecified offense categories.,,,,,,,
"Sources: BJS, National Prisoner Statistics Program, National Corrections Reporting Program, and National Inmate Survey.",,,,,,,
