Bureau of Justice Statistics,,,,,,,
Filename: p10at16b.csv,,,,,,,
"Appendix Table 16b. Estimated number of sentenced prisoners under state jurisdiction, by offense, sex, race, and Hispanic origin, December 31, 2009",,,,,,,
Report title: Prisoners in 2010 NCJ 236096,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,
"Author(s): Paul Guerino, Paige M. Harrison, and William J. Sabol",,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,
Date of version: 01/10/2012,,,,,,,
,,,,,,,
"Appendix Table 16b. Estimated number of sentenced prisoners under state jurisdiction, by offense, sex, race, and Hispanic origin, December 31, 2009",,,,,,,
Offense,,All inmates,Male,Female,White/a,Black/a,Hispanic
,Total,"1,365,800","1,272,200","93,600","532,000","582,100","212,100"
Violent,,"726,100","692,600","33,600","265,600","319,700","117,800"
,Murder/b,"179,000","168,800","10,200","55,700","84,000","32,300"
,Manslaughter,"16,900","14,800","2,200","8,200","6,400","1,900"
,Rape,"67,800","67,200",700,"36,300","22,800","6,800"
,Other sexual assault,"99,600","98,200","1,400","58,600","22,600","15,200"
,Robbery,"185,700","177,700","8,000","45,300","110,000","26,600"
,Assault,"138,100","130,000","8,200","46,600","58,400","28,000"
,Other violent,"39,000","36,000","2,900","15,000","15,500","6,900"
Property,,"261,900","234,100","27,700","132,000","88,500","34,400"
,Burglary,"131,000","124,900","6,200","63,400","48,100","16,400"
,Larceny,"49,900","41,600","8,300","24,700","18,100","5,900"
,Motor vehicle theft,"19,800","18,300","1,500","8,500","4,300","6,100"
,Fraud,"33,200","23,700","9,400","19,600","10,300","2,400"
,Other property,"28,000","25,600","2,400","15,900","7,700","3,600"
Drug,,"242,900","218,800","24,000","73,900","122,600","41,400"
Public-order/c,,"121,000","114,300","6,800","54,400","46,400","16,000"
Other/unspecified/d,,"13,900","12,400","1,400","6,000","4,900","2,500"
Note: Counts based on prisoners with a sentence of more than 1 year. Detail may not add to total due to rounding. See Methodology for estimation method.,,,,,,,
a/Excludes Hispanics and persons identifying as two or more races.,,,,,,,
b/Includes non-negligent manslaughter.,,,,,,,
"c/Includes weapons, drunk driving, court offenses, commercialized vice, morals and decency offenses, liquor law violations, and other public-order offenses.",,,,,,,
d/Includes juvenile offenses and other unspecified offense categories.,,,,,,,
"Sources: BJS, National Prisoner Statistics Program, National Corrections Reporting Program, and National Inmate Survey.",,,,,,,
