Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: p10at17a.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix Table 17a. Estimated percent of sentenced prisoners under state jurisdiction, by offense, sex, race, and Hispanic origin, December 31, 2008",,,,,,,,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2010 NCJ 236096,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author(s): Paul Guerino, Paige M. Harrison, and William J. Sabol",,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/13/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix Table 17a. Estimated percent of sentenced prisoners under state jurisdiction, by offense, sex, race, and Hispanic origin, December 31, 2008",,,,,,,,,,,,,,,,,,,,,,,,,,,
Offense,,All inmates,,Male,,Female,,White/a,,Black/a,,Hispanic,,,,,,,,,,,,,,,
,Total,100,%,100,%,100,%,100,%,100,%,100,%,,,,,,,,,,,,,%, 
Violent,,52.4,%,53.8,%,33.9,%,49.7,%,54.0,%,54.2,%,,,,,,,,,,,,, ,
,Murder/b,12.8,,13.0,,10.3,,10.2,,14.3,,14.5,,,,,,,,,,,,,, ,
,Manslaughter,1.2,,1.1,,2.1,,1.5,,1.1,,0.7,,,,,,,,,,,,,, ,
,Rape,4.9,,5.3,,0.6,,6.7,,4.0,,3.0,,,,,,,,,,,,,, ,
,Other sexual assault,7.2,,7.6,,1.4,,11.1,,3.9,,6.4,,,,,,,,,,,,,, ,
,Robbery,13.4,,13.8,,8.0,,8.4,,18.5,,12.7,,,,,,,,,,,,,, ,
,Assault,10.0,,10.2,,8.3,,8.9,,9.7,,13.4,,,,,,,,,,,,,, ,
,Other violent,2.8,,2.8,,3.2,,2.9,,2.5,,3.4,,,,,,,,,,,,,,%, 
Property,,19.3,%,18.5,%,30.0,%,24.9,%,15.4,%,16.2,%,,,,,,,,,,,,, ,
,Burglary,9.5,,9.7,,6.8,,11.8,,8.3,,7.3,,,,,,,,,,,,,, ,
,Larceny,3.7,,3.3,,8.5,,4.7,,3.2,,2.8,,,,,,,,,,,,,, ,
,Motor vehicle theft,1.6,,1.6,,1.7,,1.7,,0.8,,3.1,,,,,,,,,,,,,, ,
,Fraud,2.5,,1.9,,10.5,,3.8,,1.8,,1.1,,,,,,,,,,,,,, ,
,Other property,2.0,,2.0,,2.5,,2.8,,1.4,,1.9,,,,,,,,,,,,,,%, 
Drug,,18.7,%,18.1,%,27.3,%,14.5,%,22.3,%,20.7,%,,,,,,,,,,,,,%, 
Public-order/c,,8.5,%,8.6,%,7.4,%,10.0,%,7.4,%,7.5,%,,,,,,,,,,,,,%, 
Other/unspecified/d,,1.0,%,1.0,%,1.5,%,1.0,%,1.0,%,1.3,%,,,,,,,,,,,,,,
Note: Counts based on prisoners with a sentence of more than 1 year. Detail may not add to total due to rounding. See Methodology for estimation method.,,,,,,,,,,,,,,,,,,,,,,,,,,,
a/Excludes Hispanics and persons identifying as two or more races.,,,,,,,,,,,,,,,,,,,,,,,,,,,
b/Includes non-negligent manslaughter.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c/Includes weapons, drunk driving, court offenses, commercialized vice, morals and decency offenses, liquor law violations, and other public-order offenses.",,,,,,,,,,,,,,,,,,,,,,,,,,,
d/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: BJS, National Prisoner Statistics Program, National Corrections Reporting Program, and National Inmate Survey.",,,,,,,,,,,,,,,,,,,,,,,,,,,
