Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: p10at17b.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix Table 17b. Estimated percent of sentenced prisoners under state jurisdiction, by offense, sex, race, and Hispanic origin, December 31, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2010 NCJ 236096,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author(s): Paul Guerino, Paige M. Harrison, and William J. Sabol",,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/13/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix Table 17b. Estimated percent of sentenced prisoners under state jurisdiction, by offense, sex, race, and Hispanic origin, December 31, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,
Offense,,All inmates,,Male,,Female,,White/a,,Black/a,,Hispanic,,,,,,,,,,,,,,,
,Total,100,%,100,%,100,%,100,%,100,%,100,%,,,,,,,,,,,,,,
Violent,,53.2,%,54.4,%,35.9,%,49.9,%,54.9,%,55.5,%,,,,,,,,,,,,,, 
,Murder/b,13.1,,13.3,,10.9,,10.5,,14.4,,15.2, ,,,,,,,,,,,,,,
,Manslaughter,1.2,,1.2,,2.3,,1.5,,1.1,,0.9, ,,,,,,,,,,,,,,
,Rape,5.0,,5.3,,0.7,,6.8,,3.9,,3.2, ,,,,,,,,,,,,,,
,Other sexual assault,7.3,,7.7,,1.5,,11.0,,3.9,,7.2, ,,,,,,,,,,,,,,
,Robbery,13.6,,14.0,,8.6,,8.5,,18.9,,12.6, ,,,,,,,,,,,,,,
,Assault,10.1,,10.2,,8.7,,8.8,,10.0,,13.2, ,,,,,,,,,,,,,,
,Other violent,2.9,,2.8,,3.1,,2.8,,2.7,,3.3, ,,,,,,,,,,,,,,
Property,,19.2,%,18.4,%,29.6,%,24.8,%,15.2,%,16.2,%,,,,,,,,,,,,,, 
,Burglary,9.6,,9.8,,6.6,,11.9,,8.3,,7.7, ,,,,,,,,,,,,,,
,Larceny,3.7,,3.3,,8.8,,4.6,,3.1,,2.8, ,,,,,,,,,,,,,,
,Motor vehicle theft,1.4,,1.4,,1.6,,1.6,,0.7,,2.9, ,,,,,,,,,,,,,,
,Fraud,2.4,,1.9,,10.0,,3.7,,1.8,,1.2, ,,,,,,,,,,,,,,
,Other property,2.1,,2.0,,2.6,,3.0,,1.3,,1.7, ,,,,,,,,,,,,,,
Drug,,17.8,%,17.2,%,25.7,%,13.9,%,21.1,%,19.5,%,,,,,,,,,,,,,, 
Public-order/c,,8.9,%,9.0,%,7.2,%,10.2,%,8.0,%,7.5,%,,,,,,,,,,,,,, 
Other/unspecified/d,,1.0,%,1.0,%,1.5,%,1.1,%,0.8,%,1.2,%,,,,,,,,,,,,,, 
Note: Counts based on prisoners with a sentence of more than 1 year. Detail may not add to total due to rounding. See Methodology for estimation method.,,,,,,,,,,,,,,,,,,,,,,,,,,,
a/Excludes Hispanics and persons identifying as two or more races.,,,,,,,,,,,,,,,,,,,,,,,,,,,
b/Includes non-negligent manslaughter.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c/Includes weapons, drunk driving, court offenses, commercialized vice, morals and decency offenses, liquor law violations, and other public-order offenses.",,,,,,,,,,,,,,,,,,,,,,,,,,,
d/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: BJS, National Prisoner Statistics Program, National Corrections Reporting Program, and National Inmate Survey.",,,,,,,,,,,,,,,,,,,,,,,,,,,
