Bureau of Justice Statistics,,,,,,,
Filename: p11at08.csv,,,,,,,
"Appendix table 8. Estimated number of sentenced prisoners under state jurisdiction, by offense, sex, race, and Hispanic origin, December 31, 2009",,,,,,,
Report title: Prisoners in 2011 NCJ 239808,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,
Author(s): E. Ann Carson and William J. Sabol,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,
Date of version: 12/05/2012,,,,,,,
 ,,,,,,,
"Appendix table 8. Estimated number of sentenced prisoners under state jurisdiction, by offense, sex, race, and Hispanic origin, December 31, 2009",,,,,,,
Offense,,All inmates,Male,Female,White/a,Black/a,Hispanic
,Total,"1,365,688","1,272,133","93,555","467,290","525,677","287,568"
Violent,,"718,700","683,700","33,700","231,500","284,600","159,800"
,Murder/b,"167,000","157,400","9,500","46,900","71,100","38,300"
,Manslaughter,"21,400","18,700","2,700","8,600","7,700","3,100"
,Rape,"71,300","69,700",700,"33,300","22,200","8,900"
,Other sexual assault,"90,800","89,300","1,300","44,800","17,900","24,600"
,Robbery,"186,000","178,000","8,200","40,700","96,400","37,600"
,Assault,"142,400","133,700","8,300","43,300","55,100","37,500"
,Other violent,"39,900","37,000","3,100","13,900","14,100","9,800"
Property,,"251,200","224,800","26,900","111,000","77,400","43,100"
,Burglary,"129,900","123,700","6,400","54,300","43,300","22,600"
,Larceny,"45,200","37,900","7,600","19,800","14,500","7,000"
,Motor vehicle theft,"16,600","15,300","1,200","6,500","3,500","6,600"
,Fraud,"31,300","22,300","9,200","16,000","8,700","2,900"
,Other property,"28,200","25,700","2,500","14,300","7,300","4,100"
Drug/c,,"247,900","224,500","24,600","69,200","114,000","49,400"
Public-order/d,,"139,200","131,300","7,500","52,000","46,600","34,000"
Other/unspecified/e,,"8,600","7,800",900,"3,500","3,000","1,300"
Note: Counts are based on state prisoners with a sentence of more than 1 year.  Detail may not sum to total due to rounding and missing offense data. See Methodology for estimation method.,,,,,,,
a/Excludes persons of Hispanic or Latino origin and persons of two or more races.,,,,,,,
b/Includes non-negligent manslaughter.,,,,,,,
"c/Includes trafficking, possession, and other drug offenses.",,,,,,,
"d/Includes weapons, drunk driving, court offenses, commercialized vice, morals and decency offenses, liquor law violations, and other public-order offenses.",,,,,,,
e/Includes juvenile offenses and other unspecified offense categories.,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics Program and National Corrections Reporting Program, 2009.",,,,,,,
