Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: p11at10.csv,,,,,,,,,,,,,
"Appendix table 10. Estimated percent of sentenced prisoners under state jurisdiction, by offense, sex, race, and Hispanic origin, December 31, 2009",,,,,,,,,,,,,
Report title: Prisoners in 2011 NCJ 239808,,,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,,,
Author(s): E. Ann Carson and William J. Sabol,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,
Date of version: 12/05/2012,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
"Appendix table 10. Estimated percent of sentenced prisoners under state jurisdiction, by offense, sex, race, and Hispanic origin, December 31, 2009",,,,,,,,,,,,,
Offense,,All inmates,,Male,,Female,,White/a,,Black/a,,Hispanic,
,Total,100,%,100,%,100,%,100,%,100,%,100,%
Violent,,52.6,%,53.7,%,36,%,49.5,%,54.1,%,55.6,%
,Murder/b,12.2,,12.4,,10.2,,10,,13.5,,13.3,
,Manslaughter,1.6,,1.5,,2.9,,1.8,,1.5,,1.1,
,Rape,5.2,,5.5,,0.7,,7.1,,4.2,,3.1,
,Other sexual assault,6.6,,7,,1.4,,9.6,,3.4,,8.6,
,Robbery,13.6,,14,,8.8,,8.7,,18.3,,13.1,
,Assault,10.4,,10.5,,8.9,,9.3,,10.5,,13,
,Other violent,2.9,,2.9,,3.3,,3,,2.7,,3.4,
Property,,18.4,%,17.7,%,28.8,%,23.8,%,14.7,%,15,%
,Burglary,9.5,,9.7,,6.8,,11.6,,8.2,,7.9,
,Larceny,3.3,,3,,8.1,,4.2,,2.8,,2.4,
,Motor vehicle theft,1.2,,1.2,,1.3,,1.4,,0.7,,2.3,
,Fraud,2.3,,1.8,,9.8,,3.4,,1.7,,1,
,Other property,2.1,,2,,2.7,,3.1,,1.4,,1.4,
Drug/c,,18.2,%,17.6,%,26.3,%,14.8,%,21.7,%,17.2,%
Public-order/d,,10.2,%,10.3,%,8,%,11.1,%,8.9,%,11.8,%
Other/unspecified/e,,0.6,%,0.6,%,1,%,0.7,%,0.6,%,0.5,%
Note: Counts are used to generate percentages based on prisoners with a sentence of more than 1 year.  Detail may not sum to total due to rounding. See Methodology for estimation method.,,,,,,,,,,,,,
a/Excludes persons of Hispanic or Latino origin and persons of two or more races.,,,,,,,,,,,,,
b/Includes non-negligent manslaughter.,,,,,,,,,,,,,
"c/Includes trafficking, possession, and other drug offenses.",,,,,,,,,,,,,
"d/Includes weapons, drunk driving, court offenses, commercialized vice, morals and decency offenses, liquor law violations, and other public-order offenses.",,,,,,,,,,,,,
e/Includes juvenile offenses and other unspecified offense categories. ,,,,,,,,,,,,,
"Sources: National Prisoner Statistics Program and National Corrections Reporting Program, 2009.",,,,,,,,,,,,,
