Bureau of Justice Statistics,,,,,,,
Filename: p11at12.csv,,,,,,,
"Appendix table 12. Estimated percent of sentenced prisoners under federal jurisdiction, by offense, December 31, 2000, 2010, and 2011",,,,,,,
Report title: Prisoners in 2011 NCJ 239808,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,
Author(s): E. Ann Carson and William J. Sabol,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,
Date of version: 12/05/2012,,,,,,,
 ,,,,,,,
"Appendix table 12. Estimated percent of sentenced prisoners under federal jurisdiction, by offense, December 31, 2000, 2010, and 2011",,,,,,,
Offense,,2000,,2010,,2011,
,Total,100,%,100,%,100,%
Violent,,10.4,%,7.9,%,7.6,%
,Homicide/a,1,,1.5,,1.4,
,Robbery,7.4,,4.4,,4.1,
,Other violent,2,,2,,2,
Property,,7.7,%,5.4,%,5.4,%
,Burglary,0.4,,0.2,,0.2,
,Fraud,5.7,,3.9,,3.9,
,Other property,1.6,,1.3,,1.3,
Drug/b,,56.4,%,52.1,%,48,%
Public-order,,24.5,%,34.1,%,35,%
,Immigration,10.4,,10.6,,11.2,
,Weapons,8.2,,15.3,,15.1,
,Other,5.9,,8.2,,8.7,
Other/unspecified/c,,1,%,0.6,%,:,
Note: Counts based on prisoners with a sentence of more than 1 year. Detail may not sum to total due to rounding. See Methodology for estimation method.,,,,,,,
"a/Includes murder, negligent, and nonnegligent manslaughter.",,,,,,,
"b/Includes trafficking, possession, and other drug offenses.",,,,,,,
c/Includes offenses not classified.,,,,,,,
: Not calculated. 2011 data included individuals commiting drug and public-order crimes that could not be separated from valid records.,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics Program and Federal Justice Statistics Program, 2000–2011.",,,,,,,
