Bureau of Justice Statistics,,,,,,,
Filename: p11t09.csv,,,,,,,
"Table 9. Estimated number of sentenced prisoners under state jurisdiction, by offense, sex, race, and Hispanic origin, December 31, 2010",,,,,,,
Report title: Prisoners in 2011 NCJ 239808,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,
Author(s): E. Ann Carson and William J. Sabol,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,
Date of version: 12/05/2012,,,,,,,
 ,,,,,,,
"Table 9. Estimated number of sentenced prisoners under state jurisdiction, by offense, sex, race, and Hispanic origin, December 31, 2010",,,,,,,
Offense,,All inmates,Male,Female,White/a,Black/a,Hispanic
,Total,"1,362,028","1,268,974","93,054","468,528","518,763","289,429"
Violent,,"725,000","689,000","34,100","231,800","286,400","164,200"
,Murder/b,"166,700","157,000","9,400","47,200","70,100","38,900"
,Manslaughter,"21,500","18,800","2,700","8,600","7,800","3,300"
,Rape,"70,200","67,900",700,"32,500","22,200","8,600"
,Other sexual assault,"90,600","89,100","1,300","44,100","17,200","26,200"
,Robbery,"185,800","178,000","8,300","40,400","96,600","38,000"
,Assault,"146,800","137,700","8,500","44,300","57,200","38,500"
,Other violent,"43,400","40,500","3,200","14,900","15,400","10,700"
Property,,"249,500","223,100","26,900","110,800","76,300","41,900"
,Burglary,"130,000","123,900","6,500","54,400","43,000","22,600"
,Larceny,"45,900","38,500","7,900","20,500","14,600","6,700"
,Motor vehicle theft,"15,000","13,600","1,000","6,000","3,100","5,700"
,Fraud,"30,800","21,800","9,000","15,900","8,400","2,800"
,Other property,"27,700","25,300","2,400","14,000","7,200","4,000"
Drug/c,,"237,000","215,600","23,400","69,500","105,600","47,800"
Public-order/d,,"142,500","134,100","7,800","53,100","47,800","34,400"
Other/unspecified/e,,"7,900","7,100",900,"3,300","2,700","1,200"
Note: Counts based on state prisoners with a sentence of more than 1 year. Detail may not add to total due to rounding and missing offense data. See Methodology for estimation method.,,,,,,,
a/Excludes persons of Hispanic or Latino origin and persons of two or more races.,,,,,,,
b/Includes non-negligent manslaughter.,,,,,,,
"c/Includes trafficking, possession, and other drug offenses.",,,,,,,
"d/Includes weapons, drunk driving, court offenses, commercialized vice, morals and decency offenses, liquor law violations, and other public-order offenses.",,,,,,,
e/Includes juvenile offenses and other unspecified offense categories.,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics Program and National Corrections Reporting Program, 2010.",,,,,,,
