Bureau of Justice Statistics,,,,,,,
Filename: p11t10.csv,,,,,,,
"Table 10. Estimated number of sentenced prisoners under state jurisdiction, by offense, December 31, 2000 and 2010",,,,,,,
Report title: Prisoners in 2011 NCJ 239808,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,
Author(s): E. Ann Carson and William J. Sabol,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,
Date of version: 12/05/2012,,,,,,,
 ,,,,,,,
"Table 10. Estimated number of sentenced prisoners under state jurisdiction, by offense, December 31, 2000 and 2010",,,,,,,
,,,,,Change 2000–2010,,
Offense,,2000,2010,,Number,Percent change,
,Total,"1,209,130","1,362,028",,"152,898",12.6,%
Violent,,"625,600","725,000",,"99,400",15.9,
,Murder/a,"157,400","166,700",,"9,300",5.9,
,Manslaughter,"16,900","21,500",,"4,600",27.2,
,Rape,"57,900","70,200",,"12,300",21.2,
,Other sexual assault,"74,800","90,600",,"15,800",21.1,
,Robbery,"173,000","185,800",,"12,800",7.4,
,Assault,"117,800","146,800",,"29,000",24.6,
,Other violent,"27,900","43,400",,"15,500",55.6,
Property,,"246,400","249,500",,"3,100",1.3,
,Burglary,"135,500","130,000",,"-5,500",-4.1,
,Larceny,"44,000","45,900",,"1,900",4.3,
,Motor vehicle theft,"19,500","15,000",,"-4,500",-23.1,
,Fraud,"25,000","30,800",,"5,800",23.2,
,Other property,"22,400","27,700",,"5,300",23.7,
Drug/b,,"258,100","237,000",,"-21,100",-8.2,
Public-order/c,,"69,900","142,500",,"72,600",103.9,
Other/unspecified/d,,"4,000","7,900",,"3,900",97.5,
Note: Counts are based on state prisoners with a sentence of more than 1 year.  Detail may not sum to total due to rounding and missing offense data. See Methodology for estimation method.,,,,,,,
a/Includes non-negligent manslaughter.,,,,,,,
"b/Includes trafficking, possession, and other drug offenses.",,,,,,,
"c/Includes weapons, drunk driving, court offenses, commercialized vice, morals and decency offenses, liquor law violations, and other public-order offenses.",,,,,,,
d/Includes juvenile offenses and other unspecified offense categories.,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics Program and National Corrections Reporting Program, 2000–2011.",,,,,,,
