Bureau of Justice Statistics,,,,,,,,
Filename: p11t11.csv,,,,,,,,
"Table 11. Estimated number of sentenced prisoners under federal jurisdiction, by offense, December 31, 2000, 2010, and 2011",,,,,,,,
Report title: Prisoners in 2011 NCJ 239808,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,
Author(s): E. Ann Carson and William J. Sabol,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,
Date of version: 12/05/2012,,,,,,,,
 ,,,,,,,,
"Table 11. Estimated number of sentenced prisoners under federal jurisdiction, by offense, December 31, 2000, 2010, and 2011",,,,,,,,
,,,,,Percent change,,,
Offense,,2000,2010,2011,"Average annual, 2000–2010",,2010–2011,
,Total,"125,044","190,641","197,050",3.8,%,3.4,%
Violent,,"13,000","15,000","14,900",1.3,,-0.7,
,Homicide/a,"1,300","2,900","2,800",7.3,,-3.4,
,Robbery,"9,200","8,300","8,100",-0.9,,-2.4,
,Other violent,"2,500","3,800","4,000",3.8,,5.3,
Property,,"9,600","10,300","10,700",0.6,,3.9,
,Burglary,400,400,400,0,,0,
,Fraud,"7,100","7,500","7,700",0.5,,2.7,
,Other property,"2,100","2,400","2,500",1.2,,4.2,
Drug/b,,"70,500","99,300","94,600",3.1,,-4.7,
Public-order,,"30,700","65,000","69,000",6.8,,6.2,
,Immigration,"13,000","20,200","22,100",4,,9.4,
,Weapons,"10,300","29,200","29,800",9.5,,2.1,
,Other,"7,400","15,600","17,100",6.8,,9.6,
Other/unspecified/c,,"1,200","1,100",:,-0.8,,:,
Note: Counts are based on prisoners with a sentence of more than 1 year. Detail may not sum to total due to rounding. See Methodology for estimation method.,,,,,,,,
"a/Includes murder, negligent, and non-negligent manslaughter.",,,,,,,,
"b/Includes trafficking, possession, and other drug offenses.",,,,,,,,
c/Includes offenses not classified.,,,,,,,,
: Not calculated. 2011 data included individuals commiting drug and public-order crimes that could not be separated from valid unspecified records.,,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics Program and Federal Justice Statistics Program, 2000–2011.",,,,,,,,
