Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: p12tar9112at11.csv,,,,,,,,,,,,,,,,,,,,,
"Appendix table 11. Sentenced federal prisoners, by sex and most serious offense, September 30, 2002, 2011, and 2012",,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2012: Trends in Admissions and Releases 1991-2012 NCJ 243920,,,,,,,,,,,,,,,,,,,,,
"Data source(s): National Prisoner Statistics Program, Federal Justice Statistics Program",,,,,,,,,,,,,,,,,,,,,
Author(s): E. Ann Carson and Daniela Golinelli,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,,
Date of version: 7/23/2014,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
"Appendix table 11. Sentenced federal prisoners, by sex and most serious offense, September 30, 2002, 2011, and 2012",,,,,,,,,,,,,,,,,,,,,
,,2002,,,,,,,2011,,,,,,,2012,,,,,
Most serious offense,,All inmates,,Male,,Female,,,All inmates,,Male,,Female,,,All inmates,,Male,,Female,
,Total,"143,040",,"133,732",,"9,308",,,"197,050",,"184,901",,"12,149",,,"196,574",,"184,258",,"12,316",
Violent,,9.5,%,9.8,%,4.7,%,,6.2,%,6.3,%,4.0,%,,5.9,%,6.1,%,3.8,%
,Homicide/a,0.9,,0.9,,0.7,,,0.8,,0.7,,1.0,,,0.7,,0.7,,0.9,
,Robbery,6.7,,7,,3.3,,,3.9,,4.0,,2.0,,,3.6,,3.7,,1.7,
,Other violent,1.9,,2,,0.8,,,1.6,,1.6,,1.1,,,1.6,,1.7,,1.2,
Property,,7.1,%,6.4,%,16.1,%,,5.5,%,4.7,%,16.9,%,,5.9,%,5,%,18.8,%
,Burglary,0.2,,0.2,,0.1,,,0.1,,0.1,,0.1,,,0.1,,0.1,,0.1,
,Fraud,4.6,,4.1,,11.2,,,4.1,,3.5,,13.7,,,4.5,,3.8,,15.1,
,Other property,2.3,,2.1,,4.8,,,1.2,,1.1,,3.1,,,1.3,,1.2,,3.6,
Drug/b,,56.7,%,55.9,%,66.2,%,,52.4,%,51.9,%,60.7,%,,50.6,%,50.1,%,57.9,%
Public order,,26,%,27.1,%,12.2,%,,35.2,%,36.4,%,17.4,%,,36.9,%,38.1,%,18.7,%
,Immigration,10.9,,11.5,,3.4,,,11.3,,11.7,,5.0,,,12.1,,12.5,,5.5,
,Weapons,9.6,,10.1,,2.2,,,15.3,,16.0,,4.2,,,15.3,,16,,3.9,
,Other,5.6,,5.5,,6.6,,,8.7,,8.7,,8.2,,,9.6,,9.6,,9.3,
Other/unspecified/c,,0.8,%,0.8,%,0.8,%,,0.6,%,0.6,%,0.9,%,,0.7,%,0.7,%,0.8,%
Note: Counts are based on prisoners with a sentence of more than 1 year under federal jurisdiction. See Methodology.,,,,,,,,,,,,,,,,,,,,,
: Not calculated. 2011 data included individuals commiting drug and public order crimes that could not be separated from valid unspecified records.,,,,,,,,,,,,,,,,,,,,,
"a/Includes murder, negligent, and non-negligent manslaughter.",,,,,,,,,,,,,,,,,,,,,
"b/Includes trafficking, possession, and other drug offenses.",,,,,,,,,,,,,,,,,,,,,
c/Includes offenses not classified.,,,,,,,,,,,,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics Program and Federal Justice Statistics Program, 2002, 2011, and 2012.",,,,,,,,,,,,,,,,,,,,,
