Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
Filename: p12tar9112t07.csv,,,,,,,,,,,,,,,,,,,,
"Table 7. Estimated parole violation admissions to state prison, by sex and most serious offense, 1991, 2001, 2006, and 2011",,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2012: Trends in Admissions and Releases 1991-2012 NCJ 243920,,,,,,,,,,,,,,,,,,,,
"Data source(s): National Prisoner Statistics Program, National Corrections Reporting Program",,,,,,,,,,,,,,,,,,,,
Author(s): E. Ann Carson and Daniela Golinelli,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,
Date of version: 12/19/2013,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
"Table 7. Estimated parole violation admissions to state prison, by sex and most serious offense, 1991, 2001, 2006, and 2011",,,,,,,,,,,,,,,,,,,,
,,1991,,,,,2001,,,,,2006,,,,,2011,,,
Most serious offense/a,,Male,,Female,,,Male,,Female,,,Male,,Female,,,Male,,Female,
,Total,100,%,100,%,,100,%,100,%,,100,%,100,%,,100,%,100,%
Violent,,24.5,%,14,%,,25,%,11.6,%,,25.2,%,12.3,%,,28.4,%,14.6,%
,Murder/b,1.8,,1.1,,,1.3,,0.7,,,1.2,,0.5,,,1.2,,0.4,
,Negligent manslaughter,0.5,,0.5,,,0.4,,0.3,,,0.4,,0.5,,,0.3,,0.3,
,Rape/sexual assault,3.9,,0.3,,,3.7,,0.3,,,4.2,,0.6,,,5.1,,0.8,
,Robbery,11.9,,7.5,,,9.6,,4.9,,,7.7,,4,,,8.7,,5,
,Assault,5.6,,4,,,8.3,,3.9,,,9.5,,4.6,,,10.8,,6.4,
,Other violent,0.7,,0.6,,,1.8,,1.5,,,2.1,,2.2,,,2.2,,1.7,
Property,,42.2,%,45.2,%,,32.2,%,36,%,,32.6,%,40.8,%,,31.6,%,42.5,%
,Burglary,21.7,,9.2,,,13.4,,7.6,,,12.7,,8.4,,,13.4,,9.9,
,Larceny,10.9,,20.9,,,8.3,,14.5,,,7,,11.5,,,6.2,,10.8,
,Motor vehicle theft,4.3,,1.5,,,4.1,,2.2,,,5.5,,4.8,,,4.9,,4.5,
,Fraud,3.4,,12.5,,,2.7,,9.2,,,3.4,,12.1,,,2.8,,11.6,
,Other property,1.9,,1.1,,,3.6,,2.6,,,4,,4,,,4.3,,5.7,
Drug,,24.7,%,35.8,%,,34.1,%,46.6,%,,31,%,39.5,%,,25.7,%,33.2,%
,Possession,6.6,,11.3,,,8.9,,11.6,,,9.4,,13.1,,,8.5,,11.6,
,Other drug/c,18.1,,24.5,,,25.2,,35,,,21.6,,26.4,,,17.2,,21.6,
Public order/d,,6.3,%,3.3,%,,8.2,%,5.2,%,,10.7,%,6.7,%,,13.5,%,8.7,%
Other/unspecified/e,,2.3,%,1.7,%,,0.5,%,0.5,%,,0.6,%,0.8,%,,0.8,%,1,%
,Number of parole violation admissions,"132,288",,"9,812",,,"197,537",,"17,807",,,"218,488",,"20,797",,,"184,513",,"15,968",
"Note: Based on prisoners with a sentence of more than 1 year returned to state prison on all conditional release violations for either violations of conditions of release, or for new crimes. Detail may not sum to total due to rounding and missing offense data. Admission totals from National Prisoner Statistics Program. Offense distribution based on National Corrections Reporting Program administrative data. See Methodology. Estimates may vary from those previously published due to differences in methodology.",,,,,,,,,,,,,,,,,,,,
"a/For parole violation admissions, most serious offense refers to the original offense for which an inmate was sentenced, not the incident causing the parole revocation.",,,,,,,,,,,,,,,,,,,,
b/Includes nonnegligent manslaughter.,,,,,,,,,,,,,,,,,,,,
c/Includes drug trafficking.,,,,,,,,,,,,,,,,,,,,
"d/Includes weapons, drunk driving, and court offenses; habitual offender sanctions; commercialized vice, morals, and decency offenses; and liquor law violations and other public order offenses.",,,,,,,,,,,,,,,,,,,,
e/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,,,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics Program and National Corrections Reporting Program, 1991, 2001, 2006, and 2011.",,,,,,,,,,,,,,,,,,,,
