Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: p12tar9112t08.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 8. Estimated new court commitments to state prison, by race, Hispanic origin, and most serious offense, 1991, 2001, 2006, and 2011",,,,,,,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2012: Trends in Admissions and Releases 1991-2012 NCJ 243920,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source(s): National Prisoner Statistics Program, National Corrections Reporting Program, Survey of Inmates in State Correctional Facilities",,,,,,,,,,,,,,,,,,,,,,,,,,
Author(s): E. Ann Carson and Daniela Golinelli,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/19/2013,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 8. Estimated new court commitments to state prison, by race, Hispanic origin, and most serious offense, 1991, 2001, 2006, and 2011",,,,,,,,,,,,,,,,,,,,,,,,,,
,,1991/a,,,,,2001/b,,,,,,,2006/b,,,,,,,2011/b,,,,,
Most serious offense,,White,,Black,,,White/c,,Black/c,,Hispanic,,,White/c,,Black/c,,Hispanic,,,White/c,,Black/c,,Hispanic,
,Total,100,%,100,%,,100,%,100,%,100,%,,100,%,100,%,100,%,,100,%,100,%,100,%
Violent,,26.7,%,28.7,%,,27.7,%,28.8,%,34.1,%,,23.9,%,29,%,32.2,%,,25.3,%,34.4,%,35.7,%
,Murder/d,2.5,,2.9,,,1.9,,2.8,,3.3,,,1.3,,2.3,,2.5,,,1.4,,2.8,,3.2,
,Negligent manslaughter,1.8,,1.1,,,1.1,,0.7,,0.9,,,0.9,,0.5,,0.8,,,0.9,,0.6,,0.7,
,Rape/sexual assault,8.6,,3.1,,,8.9,,3.7,,6.9,,,7,,3.7,,6.4,,,6.7,,3.7,,7,
,Robbery,5.7,,13.2,,,4.8,,10.5,,8.2,,,3.9,,9.9,,7.4,,,4.5,,12.5,,8.1,
,Assault,6.4,,7.4,,,8.5,,9.1,,11.9,,,8.3,,10.3,,12,,,9.2,,12.2,,13.5,
,Other violent,1.8,,1.1,,,2.5,,2,,2.9,,,2.6,,2.3,,3.1,,,2.6,,2.5,,3.2,
Property,,40.8,%,26.4,%,,34.1,%,24.2,%,19.9,%,,33.3,%,22.7,%,22.8,%,,33.5,%,24.6,%,21.2,%
