Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: p12tar9112t09.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 9. Estimated parole violation admissions to state prison, by race, Hispanic origin, and most serious offense, 1991, 2001, 2006, and 2011",,,,,,,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2012: Trends in Admissions and Releases 1991-2012 NCJ 243920,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source(s): National Prisoner Statistics Program, National Corrections Reporting Program, Survey of Inmates in State Correctional Facilities",,,,,,,,,,,,,,,,,,,,,,,,,,
Author(s): E. Ann Carson and Daniela Golinelli,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/19/2013,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 9. Estimated parole violation admissions to state prison, by race, Hispanic origin, and most serious offense, 1991, 2001, 2006, and 2011",,,,,,,,,,,,,,,,,,,,,,,,,,
,,1991/a,,,,,2001/b,,,,,,,2006/b,,,,,,,2011/b,,,,,
Most serious offense/c,,White,,Black,,,White/d,,Black/d,,Hispanic,,,White/d,,Black/d,,Hispanic,,,White/d,,Black/d,,Hispanic,
,Total,100,%,100,%,,100,%,100,%,100,%,,100,%,100,%,100,%,,100,%,100,%,100,%
Violent,,20.6,%,25,%,,20.9,%,24.2,%,25.6,%,,21.1,%,25.2,%,25.9,%,,22.8,%,30,%,30.2,%
,Murder/e,1.4,,1.7,,,0.8,,1.5,,1.3,,,0.6,,1.4,,1,,,0.7,,1.4,,1.2,
,Negligent manslaughter,0.6,,0.4,,,0.3,,0.2,,0.3,,,0.5,,0.3,,0.3,,,0.4,,0.2,,0.3,
,Rape/sexual assault,5,,2.7,,,4.5,,2.8,,2.8,,,4.6,,3.4,,3.4,,,5.5,,4.4,,3.9,
,Robbery,7.4,,14.3,,,5.1,,11.2,,8.7,,,4.2,,10.1,,6.4,,,4.8,,11.9,,8.1,
,Assault,5.2,,5.3,,,8.2,,7,,10.3,,,8.8,,8,,12.3,,,9.3,,9.9,,14.1,
,Other violent,0.9,,0.5,,,2,,1.5,,2.2,,,2.3,,1.9,,2.5,,,2.1,,2.2,,2.7,
Property,,49.1,%,36.6,%,,40.2,%,27.4,%,28.8,%,,39.9,%,27.2,%,31.3,%,,39.3,%,25.9,%,29.7,%
,Burglary,22.5,,17.6,,,15,,11,,11.2,,,14.3,,10.8,,10.5,,,14.9,,11.8,,11.1,
,Larceny,13.1,,11,,,10.2,,9,,7.8,,,8.3,,7.7,,6.1,,,7.8,,6.3,,5.7,
,Motor vehicle theft,5.3,,3.5,,,5.4,,2.7,,5.3,,,6.4,,3,,8.5,,,5.8,,2.6,,7.3,
,Fraud,6.3,,3.2,,,4.9,,2.4,,1.5,,,5.6,,3.2,,2.4,,,4.9,,2.2,,1.9,
,Other property,1.9,,1.3,,,4.8,,2.4,,3,,,5.3,,2.6,,3.7,,,5.9,,3,,3.8,
Drug,,17.5,%,33.2,%,,29,%,42,%,36,%,,26.9,%,39.3,%,30.2,%,,23.4,%,31.4,%,24.6,%
,Possession,7,,8.4,,,12.9,,8,,8.7,,,12.3,,7.9,,10.9,,,10.2,,7.5,,10,
,Other drug/f,10.6,,24.7,,,16.1,,34,,27.3,,,14.6,,31.4,,19.3,,,13.2,,23.9,,14.6,
Public order/g,,9.2,%,3.5,%,,9.3,%,6,%,9,%,,11.5,%,7.8,%,12.3,%,,13.6,%,11.9,%,15.1,%
Other/unspecified/h,,3.6,%,1.8,%,,0.6,%,0.4,%,0.5,%,,0.6,%,0.5,%,0.4,%,,1,%,0.9,%,0.4,%
,Number of parole violation admissions,"59,155",,"70,003",,,"73,971",,"89,464",,"39,788",,,"82,329",,"99,323",,"44,152",,,"68,784",,"83,342",,"37,078",
"Note: Based on prisoners with a sentence of more than 1 year admitted to state prison on a conditional release violation, either for a release condition violation or for a new crime. Detail may not sum to total due to rounding, missing offense data, and racial categories not shown. Admission totals from National Prisoner Statistics Program. Offense distribution based on National Corrections Reporting Program administrative data. See Methodology. Estimates may vary from those previously published due to differences in methodology.",,,,,,,,,,,,,,,,,,,,,,,,,,
a/Race data are weighted to represent the race/ethnicity distribution from the 1991 Survey of Inmates in State Correctional Facilities. See Methodology. The U.S. Office of Management and Budget published guidelines on the collection and reporting of Hispanic origin in 1997 (http://www.whitehouse.gov/omb/fedreg_1997standards/) and few states collected ethnicity data in 1991. Persons of Hispanic or Latino origin are included in the White and Black categories.,,,,,,,,,,,,,,,,,,,,,,,,,,
b/Race and Hispanic origin data are weighted to represent the race/ethnicity distribution from the 2004 Survey of Inmates in State Correctional Facilities. See Methodology.,,,,,,,,,,,,,,,,,,,,,,,,,,
"c/Most serious offense refers to the original offense for which an inmate was sentenced, not the incident causing the parole revocation.",,,,,,,,,,,,,,,,,,,,,,,,,,
d/Excludes persons of Hispanic or Latino origin and persons of two or more races.,,,,,,,,,,,,,,,,,,,,,,,,,,
e/Includes nonnegligent manslaughter.,,,,,,,,,,,,,,,,,,,,,,,,,,
f/Includes drug trafficking.,,,,,,,,,,,,,,,,,,,,,,,,,,
"g/Includes weapons, drunk driving, and court offenses; habitual offender sanctions; commercialized vice, morals, and decency offenses; and liquor law violations and other public order offenses.",,,,,,,,,,,,,,,,,,,,,,,,,,
h/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics Program and National Corrections Reporting Program, 1991, 2001, 2006, and 2011; and Survey of Inmates in State Correctional Facilities, 1991 and 2004.",,,,,,,,,,,,,,,,,,,,,,,,,,
