Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: p12tar9112t13.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 13. Estimated conditional releases from state prison, by race, Hispanic origin, and most serious offense, 1991, 2001, 2006, and 2011",,,,,,,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2012: Trends in Admissions and Releases 1991-2012 NCJ 243920,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source(s): National Prisoner Statistics Program, National Corrections Reporting Program, Survey of Inmates in State Correctional Facilities",,,,,,,,,,,,,,,,,,,,,,,,,,
Author(s): E. Ann Carson and Daniela Golinelli,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/19/2013,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 13. Estimated conditional releases from state prison, by race, Hispanic origin, and most serious offense, 1991, 2001, 2006, and 2011",,,,,,,,,,,,,,,,,,,,,,,,,,
,,1991/a,,,,,2001/b,,,,,,,2006/b,,,,,,,2011/b,,,,,
Most serious offense/c,,White,,Black,,,White/d,,Black/d,,Hispanic,,,White/d,,Black/d,,Hispanic,,,White/d,,Black/d,,Hispanic,
,Total,100,%,100,%,,100,%,100,%,100,%,,100,%,100,%,100,%,,100,%,100,%,100,%
Violent,,20.6,%,24.2,%,,22.1,%,25,%,26.3,%,,21.3,%,26.3,%,26.6,%,,25.5,%,33.5,%,33.1,%
,Murder/e,1.3,,1.5,,,0.9,,1.8,,1.4,,,0.7,,1.6,,1.2,,,1,,2,,1.6,
,Negligent manslaughter,1,,0.6,,,0.7,,0.4,,0.4,,,0.7,,0.4,,0.5,,,0.9,,0.6,,0.6,
,Rape/sexual assault,5.5,,2.4,,,5.6,,2.6,,3.9,,,4.9,,2.9,,3.8,,,6.3,,4,,5.3,
,Robbery,6.5,,13.4,,,4.7,,11,,8.2,,,4,,10.2,,6.4,,,5,,13.2,,8.4,
,Assault,5.2,,5.6,,,8,,7.6,,10.1,,,8.4,,9.1,,11.9,,,9.8,,11.4,,14,
,Other violent,1.1,,0.7,,,2.3,,1.6,,2.3,,,2.4,,2.1,,2.8,,,2.5,,2.4,,3.2,
Property,,44.6,%,32.5,%,,37.3,%,25.6,%,23.9,%,,35.8,%,25.4,%,28,%,,33.9,%,23,%,24.8,%
,Burglary,20.1,,14.8,,,14.3,,9.9,,9.7,,,13,,10.1,,9.8,,,13.3,,11.1,,10.6,
,Larceny,11.6,,9.8,,,9,,7.8,,6,,,7.7,,6.8,,5.3,,,7,,5.2,,4.6,
,Motor vehicle theft,3.6,,2.4,,,3.9,,2.2,,4.2,,,4.5,,2.3,,7.2,,,3.6,,1.8,,4.6,
,Fraud,6.4,,3.3,,,5.7,,3.2,,1.3,,,6.1,,3.7,,2.4,,,4.9,,2.5,,2,
,Other property,2.9,,2.1,,,4.4,,2.4,,2.7,,,4.5,,2.5,,3.3,,,5.1,,2.4,,2.9,
Drug,,20.3,%,37.4,%,,28.5,%,42.1,%,40.6,%,,28.7,%,38.9,%,32.5,%,,24,%,30.1,%,25.7,%
,Possession,6.5,,10.1,,,11.4,,8.7,,9,,,11.8,,9.5,,11.5,,,9.5,,8.6,,10.2,
,Other drug/f,13.8,,27.2,,,17.2,,33.4,,31.5,,,17,,29.3,,21,,,14.5,,21.5,,15.5,
Public order/g,,11.3,%,4.4,%,,11.4,%,6.9,%,8.8,%,,13.5,%,9,%,12.4,%,,15.2,%,12.3,%,16,%
Other/unspecified/h,,3.2,%,1.5,%,,0.6,%,0.4,%,0.5,%,,0.7,%,0.5,%,0.5,%,,1.4,%,1.1,%,0.4,%
,Number of conditional releases,"158,346",,"167,073",,,"148,599",,"160,113",,"87,329",,,"169,716",,"182,866",,"99,739",,,"161,482",,"173,994",,"94,900",
"Note: Based on prisoners with a sentence of more than 1 year released from state prison to probation, supervised mandatory releases, and other unspecified conditional releases. Detail may not sum to total due to rounding, missing offense data, and racial categories not shown. Release totals from National Prisoner Statistics Program. Offense distribution based on National Corrections Reporting Program administrative data. Estimates may vary from those previously published due to differences in methodology.",,,,,,,,,,,,,,,,,,,,,,,,,,
a/Race data are weighted to represent the race/ethnicity distribution from the 1991 Survey of Inmates in State Correctional Facilities. The U.S. Office of Management and Budget published guidelines on the collection and reporting of Hispanic origin in 1997 (http://www.whitehouse.gov/omb/fedreg_1997standards/) and few states collected ethnicity data in 1991. Persons of Hispanic or Latino origin are included in the White and Black categories. See Methodology.,,,,,,,,,,,,,,,,,,,,,,,,,,
b/Race and Hispanic origin data are weighted to represent the race/ethnicity distribution from the 2004 Survey of Inmates in State Correctional Facilities. See Methodology.,,,,,,,,,,,,,,,,,,,,,,,,,,
"c/Most serious offense refers to the original offense for which an inmate was sentenced, not the incident causing the parole revocation.",,,,,,,,,,,,,,,,,,,,,,,,,,
d/Excludes persons of Hispanic or Latino origin and persons of two or more races.,,,,,,,,,,,,,,,,,,,,,,,,,,
e/Includes nonnegligent manslaughter.,,,,,,,,,,,,,,,,,,,,,,,,,,
f/Includes drug trafficking.,,,,,,,,,,,,,,,,,,,,,,,,,,
"g/Includes weapons, drunk driving, and court offenses; habitual offender sanctions; commercialized vice, morals, and decency offenses; and liquor law violations and other public order offenses.",,,,,,,,,,,,,,,,,,,,,,,,,,
h/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics Program and National Corrections Reporting Program, 1991, 2001, 2006, and 2011; and Survey of Inmates in State Correctional Facilities, 1991 and 2004.",,,,,,,,,,,,,,,,,,,,,,,,,,
