Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: p12tar9112t14.csv,,,,,,,,,,,,,,,,,,,,,
"Table 14. California state prison admissions, by type of admission and most serious offense, 2010, 2011, and 2012",,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2012: Trends in Admissions and Releases 1991-2012 NCJ 243920,,,,,,,,,,,,,,,,,,,,,
Data source(s): National Corrections Reporting Program,,,,,,,,,,,,,,,,,,,,,
Author(s): E. Ann Carson and Daniela Golinelli,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/19/2013,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
"Table 14. California state prison admissions, by type of admission and most serious offense, 2010, 2011, and 2012",,,,,,,,,,,,,,,,,,,,,
,,2010,,,,,,,2011,,,,,,,2012,,,,,
Most serious offense,,Total admissions,,Parole violators/a,,New court commitments,,,Total admissions,,Parole violators/a,,New court commitments,,,Total admissions,,Parole violators/a,,New court commitments,
,Total,100,%,100,%,100,%,,100,%,100,%,100,%,,100,%,100,%,100,%
Violent,,30.8,%,29.3,%,33.3,%,,32.3,%,29.2,%,36.9,%,,48.1,%,33,%,52.6,%
,Murder/b,1.8,,0.8,,3.6,,,2.2,,0.8,,4.2,,,4.9,,2,,5.8,
,Negligent manslaughter,0.5,,0.3,,0.7,,,0.5,,0.3,,0.7,,,0.9,,0.3,,1,
,Rape/sexual assault,5.6,,6.1,,4.8,,,5.4,,5.3,,5.5,,,5.9,,1.8,,7.1,
,Robbery,6.5,,6,,7.4,,,7,,6.3,,8.2,,,11.4,,8.8,,12.1,
,Assault,13.3,,13.3,,13.3,,,14,,13.8,,14.4,,,20.2,,16.1,,21.4,
,Other violent,3,,2.7,,3.6,,,3.2,,2.7,,3.9,,,4.9,,4,,5.1,
Property,,32.6,%,34.2,%,29.7,%,,31.8,%,34.5,%,27.6,%,,22.8,%,28,%,21.2,%
,Burglary,11.1,,11,,11.1,,,11.6,,11.6,,11.6,,,12.3,,12.5,,12.3,
,Larceny,7.9,,8.2,,7.3,,,7.1,,7.9,,5.9,,,3.5,,5.3,,3,
,Motor vehicle theft,7,,8.4,,4.3,,,6.6,,8.3,,4.1,,,3.2,,5.6,,2.5,
,Fraud,2.7,,2.4,,3.3,,,2.5,,2.3,,2.7,,,1.2,,1.5,,1.1,
,Other property,4,,4.2,,3.6,,,4,,4.4,,3.4,,,2.5,,3.2,,2.3,
Drug offenses,,24.7,%,25.2,%,23.9,%,,23.1,%,24,%,21.8,%,,13.5,%,20.7,%,11.3,%
,Possession,7.4,,8,,6.5,,,7.1,,7.8,,6,,,5.2,,9.3,,3.9,
,Trafficking,12.5,,11.8,,13.8,,,11.6,,11,,12.7,,,5.8,,6.6,,5.6,
,Other drug,4.8,,5.4,,3.6,,,4.4,,5.1,,3.2,,,2.5,,4.7,,1.9,
Public order/c,,11.6,%,11,%,12.6,%,,12.5,%,12.1,%,13.2,%,,15.5,%,18.1,%,14.7,%
Other/unspecified/d,,0.3,%,0.3,%,0.4,%,,0.3,%,0.3,%,0.4,%,,0.2,%,0.2,%,0.2,%
,Number of admissions,"118,943",,"77,422",,"41,521",,,"96,669",,"60,293",,"36,376",,,"34,294",,"8,017",,"26,277",
"Note: Analysis based on National Corrections Reporting Program administrative data, which may vary slightly from National Prisoner Statistics Program data due to differences in data collection. Counts based on prisoners with a sentence of more than 1 year. Counts exclude transfers, escapes, and those absent without leave (AWOL). Totals include other conditional release violators, returns from appeal or bond, and other admissions. See Methodology.",,,,,,,,,,,,,,,,,,,,,
a/Includes all conditional release violators returned to prison for either violations of conditions of release or for new crimes.,,,,,,,,,,,,,,,,,,,,,
b/Includes nonnegligent manslaughter.,,,,,,,,,,,,,,,,,,,,,
"c/Includes weapons, drunk driving, and court offenses; habitual offender sanctions; commercialized vice, morals, and decency offenses; and liquor law violations and other public order offenses.",,,,,,,,,,,,,,,,,,,,,
d/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Corrections Reporting Program, 2010, 2011, and 2012.",,,,,,,,,,,,,,,,,,,,,
