Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: p12tar9112t15.csv,,,,,,,,,,,,,,,,,,,,,
"Table 15. California state prison releases, by type of release and most serious offense, 2010, 2011, and 2012",,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2012: Trends in Admissions and Releases 1991-2012 NCJ 243920,,,,,,,,,,,,,,,,,,,,,
Data source(s): National Corrections Reporting Program,,,,,,,,,,,,,,,,,,,,,
Author(s): E. Ann Carson and Daniela Golinelli,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/19/2013,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
"Table 15. California state prison releases, by type of release and most serious offense, 2010, 2011, and 2012",,,,,,,,,,,,,,,,,,,,,
,,2010,,,,,,,2011,,,,,,,2012,,,,,
Most serious offense,,Total releases,,Unconditional releases/a,,Conditional releases/b,,,Total releases,,Unconditional releases/a,,Conditional releases/b,,,Total releases,,Unconditional releases/a,,Conditional releases/b,
,Total,100,%,100,%,100,%,,100,%,100,%,100,%,,100,%,100,%,100,%
Violent,,29,%,40.3,%,28.7,%,,30.7,%,16.7,%,32.5,%,,36.9,%,18.2,%,66.8,%
,Murder/c,1.2,,2.3,,1.1,,,1.4,,0.3,,1.4,,,2.4,,0.2,,5.4,
,Negligent manslaughter,0.5,,0.6,,0.5,,,0.5,,0.3,,0.5,,,0.6,,0.3,,1.1,
,Rape/sexual assault,5.3,,9.3,,5.2,,,5.4,,2.4,,5.8,,,5.2,,1.3,,11.3,
,Robbery,6.1,,7.9,,6.1,,,6.7,,2.1,,7.4,,,9,,1.7,,20.8,
,Assault,13,,16,,12.9,,,13.6,,9.4,,14.2,,,16.1,,12.6,,22,
,Other violent,2.9,,4.1,,2.9,,,3.1,,2.1,,3.2,,,3.6,,2,,6.2,
Property,,32.8,%,24.6,%,33,%,,32.4,%,36.8,%,31.8,%,,27.8,%,33.3,%,19.1,%
,Burglary,10.7,,8.6,,10.8,,,11.2,,10.6,,11.2,,,11.6,,9.6,,15.1,
,Larceny,8,,6,,8,,,7.7,,9.3,,7.5,,,5.7,,8.5,,1.1,
,Motor vehicle theft,7.1,,4.6,,7.2,,,6.9,,8.3,,6.7,,,5.2,,7.8,,1.1,
,Fraud,2.8,,2.3,,2.8,,,2.7,,3.9,,2.5,,,2.2,,3.5,,0.3,
,Other property,4.1,,3,,4.1,,,4,,4.7,,3.9,,,3,,3.9,,1.5,
Drug,,26.5,%,23,%,26.6,%,,24.8,%,32.5,%,23.7,%,,21.9,%,32.6,%,4.6,%
,Possession,7.6,,7.5,,7.6,,,7,,9.2,,6.8,,,5.1,,7.6,,0.9,
,Trafficking,13.7,,10.3,,13.8,,,13.3,,17.7,,12.7,,,13.9,,20.6,,3.2,
,Other drug,5.2,,5.3,,5.2,,,4.5,,5.6,,4.3,,,2.9,,4.3,,0.6,
Public order/d,,11.4,%,11.6,%,11.5,%,,11.9,%,13.8,%,11.6,%,,13.2,%,15.7,%,9.2,%
Other/unspecified/e,,0.3,%,0.5,%,0.3,%,,0.3,%,0.3,%,0.3,%,,0.3,%,0.3,%,0.2,%
,Number of releases,"121,918",,"1,728",,"119,941",,,"109,467",,"13,676",,"95,541",,,"47,454",,"29,485",,"17,756",
"Note: Analysis based on National Corrections Reporting Program administrative data, which may vary slightly from National Prisoner Statistics Program data due to differences in data collection. Counts based on prisoners with a sentence of more than 1 year. Counts exclude transfers, escapes, and those absent without leave (AWOL). Totals include deaths, releases to appeal or bond, and other releases. See Methodology.",,,,,,,,,,,,,,,,,,,,,
"a/Includes expirations of sentence, communtations, and other unconditional releases.",,,,,,,,,,,,,,,,,,,,,
"b/Includes releases to probation, supervised mandatory releases, and other unspecified conditional releases.",,,,,,,,,,,,,,,,,,,,,
c/Includes nonnegligent manslaughter.,,,,,,,,,,,,,,,,,,,,,
"d/Includes weapons, drunk driving, and court offenses; habitual offender sanctions; commercialized vice, morals, and decency offenses; and liquor law violations and other public order offenses.",,,,,,,,,,,,,,,,,,,,,
e/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Corrections Reporting Program, 2010, 2011, and 2012.",,,,,,,,,,,,,,,,,,,,,
