Bureau of Justice Statistics,,,,,,,,,,,,,,,
Filename: p13t13.csv,,,,,,,,,,,,,,,
"Table 13. Estimated percent of sentenced prisoners under state jurisdiction, by offense and sex, race, and Hispanic origin, December 31, 2012",,,,,,,,,,,,,,,
Report title: Prisoners in 2013 NCJ 247282,,,,,,,,,,,,,,,
"Data source(s): National Prisoner Statistics Program, National Corrections Reporting Program, Survey of Inmates in State Correctional Facilities",,,,,,,,,,,,,,,
Author(s): E. Ann Carson,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,
Date of version: 08/27/2014,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 13. Estimated percent of sentenced prisoners under state jurisdiction, by offense and sex, race, and Hispanic origin, December 31, 2012",,,,,,,,,,,,,,,
Most serious offense,,Total inmates/a,,Male,,Female,,White/b,,Black/b,,Hispanic,,"Other/a,b",
,Total,100,%,100,%,100,%,100,%,100,%,100,%,100,%
Violent,,53.8,%,55,%,37.1,%,49.3,%,58.3,%,59.9,%,58.8,%
,Murder/c,12.7,,12.8,,11.1,,9.9,,13.7,,14.9,,17,
,Manslaughter,1.3,,1.3,,2.5,,1.6,,1,,1.2,,1.9,
,Rape/sexual assault,12.2,,13,,2.3,,17,,8,,13.2,,12.6,
,Robbery,13.7,,14,,8.7,,8.2,,20.4,,13.4,,10,
,Aggravated or simple assault,10.7,,10.8,,8.9,,9.3,,11.5,,13.6,,13.2,
,Other violent,3.2,,3.2,,3.7,,3.3,,3.6,,3.6,,4.1,
Property,,18.8,%,18.1,%,28.2,%,24.5,%,16,%,12.9,%,17.3,%
,Burglary,9.9,,10.2,,6.9,,12,,9.4,,8,,8.6,
,Larceny-theft,3.7,,3.3,,9.1,,5.2,,3.2,,1.9,,3.3,
,Motor vehicle theft,0.9,,0.9,,0.8,,1.2,,0.5,,1,,1.6,
,Fraud,2,,1.5,,8.4,,2.9,,1.4,,0.8,,2.1,
,Other property,2.2,,2.2,,3,,3.2,,1.4,,1.2,,1.9,
Drug,,16,%,15.4,%,24.6,%,14,%,15.9,%,15.1,%,11.7,%
,Drug possession,3.7,,3.5,,6.7,,4,,4,,4.2,,3.7,
,Other drug/d,12.2,,11.8,,17.9,,10,,11.9,,11,,8,
Public-order/e,,10.7,%,10.8,%,8.9,%,11.6,%,9.5,%,11.5,%,11.5,%
Other/unspecified/f,,0.8,%,0.7,%,1.2,%,0.6,%,0.3,%,0.5,%,0.7,%
,Total number of sentenced inmates,"1,314,900",,"1,225,900",,"89,000",,"462,600",,"498,100",,"271,700",,"82,500",
Note: Estimates are based on state prisoners with a sentence of more than a year under the jurisdiction of state correctional officials. Detail may not sum to total due to rounding and missing offense data. See Methodology.,,,,,,,,,,,,,,,
"a/Includes American Indians, Alaska Natives, Asians, Native Hawaiians, Pacific Islanders, persons of two or more races, or additional racial categories in reporting information systems.",,,,,,,,,,,,,,,
b/Excludes persons of Hispanic or Latino origin and persons of two or more races.,,,,,,,,,,,,,,,
c/Includes nonnegligent manslaughter.,,,,,,,,,,,,,,,
d/Includes trafficking and other drug offenses.,,,,,,,,,,,,,,,
"e/Includes weapons, drunk driving, and court offenses; commercialized vice, morals, and decency offenses; and liquor law violations and other public-order offenses.",,,,,,,,,,,,,,,
f/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics Program and National Corrections Reporting Program, 2012; and Survey of Inmates in State Correctional Facilities, 2004.",,,,,,,,,,,,,,,
