Bureau of Justice Statistics,,,,,,,,
Filename: p13t14.csv,,,,,,,,
"Table 14. Estimated sentenced prisoners under state jurisdiction, by offense and sex, race, and Hispanic origin, December 31, 2012",,,,,,,,
Report title: Prisoners in 2013 NCJ 247282,,,,,,,,
"Data source(s): National Prisoner Statistics Program, National Corrections Reporting Program, Survey of Inmates in State Correctional Facilities",,,,,,,,
Author(s): E. Ann Carson,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,
Date of version: 08/27/2014,,,,,,,,
,,,,,,,,
,,,,,,,,
"Table 14. Estimated sentenced prisoners under state jurisdiction, by offense and sex, race, and Hispanic origin, December 31, 2012",,,,,,,,
Most serious offense,,Total inmates/a,Male,Female,White/b,Black/b,Hispanic,"Other/a,b"
,Total,"1,314,900","1,225,900","89,000","462,600","498,100","271,700","82,500"
Violent,,"707,500","674,300","33,100","228,100","290,300","162,900","48,600"
,Murder/c,"166,800","156,900","9,800","45,800","68,400","40,400","14,000"
,Manslaughter,"17,700","15,500","2,200","7,500","5,200","3,300","1,600"
,Rape/sexual assault,"160,900","158,800","2,000","78,500","40,100","35,900","10,400"
,Robbery,"179,500","171,700","7,700","37,900","101,500","36,500","8,300"
,Aggravated or simple assault,"140,100","132,100","7,900","43,200","57,100","36,800","10,900"
,Other violent,"42,500","39,200","3,300","15,300","18,000","9,900","3,400"
Property,,"247,100","222,100","25,100","113,400","79,600","35,100","14,300"
,Burglary,"130,700","124,500","6,100","55,500","46,900","21,700","7,100"
,Larceny-theft,"49,100","41,000","8,100","24,100","15,900","5,200","2,700"
,Motor vehicle theft,"11,800","11,100",700,"5,300","2,500","2,800","1,300"
,Fraud,"26,300","19,000","7,400","13,500","7,200","2,200","1,700"
,Other property,"29,200","26,500","2,700","14,900","7,100","3,300","1,500"
Drug,,"210,200","188,400","21,900","64,800","79,300","41,100","9,600"
,Drug possession,"49,100","43,200","6,000","18,400","19,900","11,300","3,000"
,Other drug/d,"161,100","145,200","15,900","46,400","59,400","29,800","6,600"
Public-order/e,,"140,200","132,200","7,900","53,500","47,300","31,300","9,500"
Other/unspecified/f,,"10,000","8,900","1,100","2,800","1,500","1,300",600
Note: Estimates are based on state prisoners with a sentence of more than a year under the jurisdiction of state correctional officials. Detail may not sum to total due to rounding and missing offense data. See Methodology.,,,,,,,,
"a/Includes American Indians, Alaska Natives, Asians, Native Hawaiians, Pacific Islanders, persons of two or more races, or additional racial categories in reporting information systems.",,,,,,,,
b/Excludes persons of Hispanic or Latino origin and persons of two or more races.,,,,,,,,
c/Includes nonnegligent manslaughter.,,,,,,,,
d/Includes trafficking and other drug offenses.,,,,,,,,
"e/Includes weapons, drunk driving, and court offenses; commercialized vice, morals, and decency offenses; and liquor law violations and other public-order offenses.",,,,,,,,
f/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics Program and National Corrections Reporting Program, 2012; and Survey of Inmates in State Correctional Facilities, 2004.",,,,,,,,
