Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: p13t15.csv,,,,,,,,,,,,,,
"Table 15. Estimated sentenced prisoners under the custody of federal correctional authorities, by offense, September 30, 2001–2013",,,,,,,,,,,,,,
Report title: Prisoners in 2013 NCJ 247282,,,,,,,,,,,,,,
Data source(s): Federal Justice Statistics Program,,,,,,,,,,,,,,
Author(s): E. Ann Carson,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,
Date of version: 08/27/2014,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 15. Estimated sentenced prisoners under the custody of federal correctional authorities, by offense, September 30, 2001–2013",,,,,,,,,,,,,,
Most serious offense,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
,Total,"137,574","143,690","152,693","153,776","160,524","167,051","173,979","176,081","184,553","186,545","193,043","193,861","193,775"
Violent,,"14,000","14,500","14,500","15,100","15,200","15,100","14,800","14,600","14,300","13,900","13,800","13,700","13,600"
,Homicide/a,"1,900","2,100","2,200","2,400","2,500","2,500","2,500","2,600","2,500","2,400","2,400","2,400","2,400"
,Robbery,"9,200","9,300","9,300","9,400","9,300","9,100","8,800","8,500","8,300","8,000","7,800","7,500","7,300"
,Other violent,"2,900","3,100","3,100","3,300","3,400","3,500","3,500","3,500","3,500","3,500","3,700","3,800","3,800"
Property,,"10,200","10,300","10,800","8,300","8,100","8,500","9,000","9,600","10,100","10,300","10,700","11,200","11,500"
,Burglary,600,600,500,500,500,500,500,400,400,400,400,400,400
,Fraud,"6,200","6,400","6,700","5,200","5,200","5,500","6,000","6,700","7,300","7,500","7,800","8,400","8,800"
,Other property,"3,400","3,400","3,500","2,600","2,400","2,500","2,500","2,400","2,400","2,400","2,500","2,400","2,300"
Drug/b,,"77,000","80,600","85,300","85,300","87,800","91,500","95,200","94,300","97,700","97,800","99,900","98,900","98,200"
Public-order,,"35,500","37,400","41,200","44,100","48,200","50,700","53,700","56,400","61,200","63,500","67,400","68,800","69,200"
,Immigration,"14,800","15,400","16,700","16,800","18,100","17,600","17,800","17,800","19,600","19,700","21,500","20,600","19,100"
,Weapons,"12,100","13,600","15,800","18,700","21,300","23,400","25,100","26,400","27,800","28,400","29,200","29,600","30,000"
,Other,"8,500","8,400","8,700","8,600","8,900","9,700","10,800","12,100","13,800","15,300","16,800","18,600","20,100"
Other/unspecified/c,,800,900,900,"1,000","1,200","1,300","1,200","1,300","1,200","1,100","1,200","1,200","1,200"
"Note: Estimates are based on prisoners with sentences of more than 1 year under federal custody as of September 30 of each year, and include inmates sentenced on U.S. district court commitments, District of Columbia superior court commitments, and violators of probation, parole, supervised release, and mandatory release. Estimates may differ from federal offense statistics previously published by BJS due to differences in methodology. Data are from the Federal Justice Statistics Program (FJSP) and may differ from NPS and the online FJSP data tool. See Methodology.",,,,,,,,,,,,,,
"a/Includes murder, negligent, and nonnegligent manslaughter.",,,,,,,,,,,,,,
"b/Includes trafficking, possession, and other drug offenses.",,,,,,,,,,,,,,
c/Includes offenses not classified.,,,,,,,,,,,,,,
"Sources: Bureau of Justice Statistics, Federal Justice Statistics Program, 2001–2013.",,,,,,,,,,,,,,
