Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: p13t16.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 16. Estimated percent of sentenced prisoners under the custody of federal correctional authorities, by offense, September 30, 2001–2013",,,,,,,,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2013 NCJ 247282,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data source(s): Federal Justice Statistics Program,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author(s): E. Ann Carson,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 08/27/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 16. Estimated percent of sentenced prisoners under the custody of federal correctional authorities, by offense, September 30, 2001–2013",,,,,,,,,,,,,,,,,,,,,,,,,,,
Most serious offense,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,
,Total,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%
Violent,,10.2,%,10.1,%,9.5,%,9.8,%,9.4,%,9,%,8.5,%,8.3,%,7.7,%,7.5,%,7.2,%,7.1,%,7,%
,Homicide/a,1.4,,1.5,,1.4,,1.6,,1.5,,1.5,,1.5,,1.5,,1.4,,1.3,,1.2,,1.2,,1.2,
,Robbery,6.7,,6.5,,6.1,,6.1,,5.8,,5.5,,5,,4.8,,4.5,,4.3,,4,,3.9,,3.8,
,Other violent,2.1,,2.1,,2,,2.1,,2.1,,2.1,,2,,2,,1.9,,1.9,,1.9,,2,,2,
Property,,7.4,%,7.2,%,7,%,5.4,%,5.1,%,5.1,%,5.2,%,5.4,%,5.5,%,5.5,%,5.6,%,5.8,%,6,%
,Burglary,0.4,,0.4,,0.3,,0.3,,0.3,,0.3,,0.3,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,
,Fraud,4.5,,4.4,,4.4,,3.4,,3.2,,3.3,,3.5,,3.8,,4,,4,,4.1,,4.3,,4.5,
,Other property,2.5,,2.3,,2.3,,1.7,,1.5,,1.5,,1.4,,1.4,,1.3,,1.3,,1.3,,1.2,,1.2,
Drug/b,,56,%,56.1,%,55.9,%,55.5,%,54.7,%,54.8,%,54.7,%,53.6,%,53,%,52.4,%,51.8,%,51,%,50.7,%
Public-order,,25.8,%,26,%,27,%,28.7,%,30,%,30.3,%,30.8,%,32,%,33.2,%,34,%,34.9,%,35.5,%,35.7,%
,Immigration,10.8,,10.7,,10.9,,10.9,,11.2,,10.5,,10.2,,10.1,,10.6,,10.6,,11.1,,10.6,,9.9,
,Weapons,8.8,,9.5,,10.3,,12.2,,13.2,,14,,14.4,,15,,15.1,,15.2,,15.1,,15.3,,15.5,
,Other,6.2,,5.8,,5.7,,5.6,,5.5,,5.8,,6.2,,6.9,,7.5,,8.2,,8.7,,9.6,,10.4,
Other/unspecified/c,,0.6,%,0.6,%,0.6,%,0.6,%,0.8,%,0.8,%,0.7,%,0.7,%,0.7,%,0.6,%,0.6,%,0.6,%,0.6,%
 Total number of sentenced prisoners,,"137,574",,"143,690",,"152,693",,"153,776",,"160,524",,"167,051",,"173,979",,"176,081",,"184,553",,"186,545",,"193,043",,"193,861",,"193,775",
"Note: Estimates are based on prisoners with sentences of more than 1 year under federal custody as of September 30 of each year, and include inmates sentenced on U.S. district court commitments, District of Columbia superior court commitments, and violators of probation, parole, supervised release, and mandatory release. Estimates may differ from federal offense statistics previously published by BJS due to differences in methodology. Data are from the Federal Justice Statistics Program (FJSP) and may differ from NPS and the online FJSP data tool. See Methodology.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"a/Includes murder, negligent, and nonnegligent manslaughter.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"b/Includes trafficking, possession, and other drug offenses.",,,,,,,,,,,,,,,,,,,,,,,,,,,
c/Includes offenses not classified.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2001–2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,
