Bureau of Justice Statistics,,,,,,,,,,,,,,,,
Filename: p13t17.csv,,,,,,,,,,,,,,,,
"Table 17. Median time served by released state prison inmates admitted on new court commitments, by sex and offense, 2002 and 2012",,,,,,,,,,,,,,,,
Report title: Prisoners in 2013 NCJ 247282,,,,,,,,,,,,,,,,
"Data source(s): National Prisoner Statistics Program, National Corrections Reporting Program",,,,,,,,,,,,,,,,
Author(s): E. Ann Carson,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,
Date of version: 08/27/2014,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Table 17. Median time served by released state prison inmates admitted on new court commitments, by sex and offense, 2002 and 2012",,,,,,,,,,,,,,,,
,,Released in 2002,,,,,,,,Released in 2012,,,,,,
Most serious offense,,Number of releases,All inmates,,Male,,Female,,,Number of releases,All inmates,,Male,,Female,
Violent,,"82,900",28,  mos.,29, mos.,19, mos.,,"117,400",28, mos.,29, mos.,20, mos.
,Murder/a,"4,800",102,,103,,86,,,"6,900",153,,158,,103,
,Manslaughter,"2,700",40,,41,,35,,,"3,200",42,,44,,35,
,Rape/sexual assault,"17,400",38,,38,,29,,,"21,800",48,,48,,29,
,Robbery,"24,000",34,,35,,20,,,"32,300",34,,35,,25,
,Aggravated or simple assault,"27,400",18,,19,,15,,,"43,100",17,,18,,16,
,Other violent,"6,600",17,,17,,13,,,"10,100",17,,17,,14,
Property,,"86,400",12, mos.,13, mos.,10, mos.,,"111,500",12, mos.,12, mos.,10, mos.
,Burglary,"31,300",16,,17,,12,,,"46,200",15,,15,,11,
,Larceny-theft,"21,300",11,,11,,9,,,"26,700",11,,11,,10,
,Motor vehicle theft,"5,800",11,,11,,8,,,"6,000",11,,12,,10,
,Fraud,"15,300",10,,11,,9,,,"17,600",11,,11,,10,
,Other property,"12,700",11,,11,,9,,,"14,900",10,,11,,8,
Drug,,"96,100",14, mos.,14, mos.,11, mos.,,"105,900",13, mos.,14, mos.,10, mos.
,Drug possession,"28,200",11,,11,,9,,,"33,300",10,,11,,8,
,Other drug/b,"67,900",15,,16,,12,,,"72,600",15,,16,,11,
Public order/c,,"38,600",11, mos.,11, mos.,9, mos.,,"71,100",12, mos.,13, mos.,9, mos.
Other/unspecified/d,,"2,100",14, mos.,15, mos.,13, mos.,,"4,200",12, mos.,13, mos.,10, mos.
,Total number of releases/e,"317,400",,,"283,700",,"33,700",,,"413,400",,,"364,700",,"48,700",
"Note: Estimates based on prisoners with a sentence of more than 1 year who entered prison on a new court commitment. Detail may not sum to total due to rounding and missing offense data. Offense distributions are based on the 35 states that submitted to both the 2002 and 2012 National Corrections Reporting Program (NCRP) data collection, while estimated counts of releases represent data for all states based on NPS. See Methodology.",,,,,,,,,,,,,,,,
a/Includes nonnegligent manslaughter.,,,,,,,,,,,,,,,,
"b/Includes trafficking, possession, and other drug offenses.",,,,,,,,,,,,,,,,
"c/Includes weapons, drunk driving, and court offenses; commercialized vice, morals, and decency offenses; and liquor law violations and other public-order offenses.",,,,,,,,,,,,,,,,
d/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,,,,,,,,
"e/Excludes transfers, AWOLs, and escapes. See Methodology.",,,,,,,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics Program and National Corrections Reporting Program, 2002 and 2012.",,,,,,,,,,,,,,,,
