Bureau of Justice Statistics,,,,,,,
Filename: p14at04.csv,,,,,,,
"Appendix table 4. Estimated number of sentenced prisoners under state jurisdiction, by offense, sex, race, and Hispanic origin, December 31, 2013",,,,,,,
Report title: Prisoners in 2014 NCJ 248955,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,
Author(s): E. Ann Carson,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,
Date of version: 09/08/2015,,,,,,,
,,,,,,,
"Appendix table 4. Estimated number of sentenced prisoners under state jurisdiction, by offense, sex, race, and Hispanic origin, December 31, 2013",,,,,,,
Most serious offense,,All inmates/a,Male,Female,White/b,Black/b,Hispanic
,Totalc,"1,325,305","1,233,724","91,581","468,600","497,000","274,200"
Violent,,"704,800","670,900","34,000","223,900","282,100","162,300"
,Murderd,"165,600","155,300","10,300","45,100","68,300","39,000"
,Manslaughter,"18,000","15,700","2,300","6,800","3,800","3,100"
,Rape/sexual assault,"166,200","164,100","2,200","78,500","39,700","37,300"
,Robbery,"181,100","173,100","8,100","37,500","98,800","37,100"
,Aggravated or simple assault,"132,400","124,600","7,800","41,100","54,300","35,700"
,Other violent,"41,400","38,000","3,400","14,800","17,200","10,000"
Property,,"255,600","229,500","26,000","117,700","81,700","37,100"
,Burglary,"139,500","132,500","7,000","58,100","48,000","22,700"
,Larceny-theft,"50,200","41,900","8,200","26,500","17,400","5,900"
,Motor vehicle theft,"10,700","10,000",700,"4,900","2,500","2,600"
,Fraud,"27,300","19,900","7,300","14,400","7,600","2,500"
,Other property,"28,000","25,200","2,800","13,800","6,300","3,400"
Drug,,"208,000","186,000","22,000","67,800","79,900","39,900"
,Drug possession,"47,400","41,700","5,700","17,700","18,800","11,400"
,Other drug/e,"160,500","144,300","16,300","50,000","61,100","28,400"
Public order,,"146,300","137,900","8,400","56,000","51,100","33,400"
,Weapons,"51,000","49,400","1,600","11,200","24,400","13,900"
,Driving under the influence,"25,500","23,300","2,200","13,500","3,400","6,700"
,Other public order/f,"69,900","65,200","4,600","31,300","23,300","12,900"
Other/unspecified/g,,"10,600","9,400","1,200","3,300","2,100","1,400"
Note: Estimates are based on state prisoners with a sentence of more than 1 year under the jurisdiction of state correctional officials. Detail may not sum to total due to rounding and missing offense data. See Methodology.,,,,,,,
"a/Includes American Indians and Alaska Natives; Asians, Native Hawaiians, and other Pacific Islanders; and persons of two or more races.",,,,,,,
b/Excludes persons of Hispanic or Latino origin. ,,,,,,,
c/Race totals are rounded to the nearest 100 to accommodate differences in data collection techniques between jurisdictions.,,,,,,,
d/Includes nonnegligent manslaughter.,,,,,,,
e/Includes trafficking and other drug offenses.,,,,,,,
"f/Includes court offenses; commercialized vice, morals, and decency offenses; and liquor law violations and other public-order offenses.",,,,,,,
g/Includes juvenile offenses and other unspecified offense categories.,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics, 2014; National Corrections Reporting Program, 2013; and Survey of Inmates in State Correctional Facilities, 2004.",,,,,,,
