Bureau of Justice Statistics,,,,,,,
Filename: p14at05.csv,,,,,,,
"Appendix table 5. Estimated sentenced prisoners under federal correctional authority, by most serious offense, sex, and race, September 30, 2014",,,,,,,
Report title: Prisoners in 2014 NCJ 248955,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,
Author(s): E. Ann Carson,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,
Date of version: 09/08/2015,,,,,,,
,,,,,,,
"Appendix table 5. Estimated sentenced prisoners under federal correctional authority, by most serious offense, sex, and race, September 30, 2014",,,,,,,
Most serious offense,,All inmates/a,Male,Female,White/b,Black/b,Hispanic
,"Total/c,d","192,663","180,140","12,523","51,600","71,300","63,700"
Violent,,"14,100","13,600",600,"3,700","7,100","1,300"
,Homicide/e,"2,800","2,600",200,400,"1,700",200
,Robbery,"7,300","7,100",200,"2,600","4,000",600
,Other violent,"4,000","3,900",200,800,"1,400",500
Property,,"11,600","9,300","2,300","5,100","4,200","1,700"
,Burglary,400,400,0,100,300,0
,Fraud,"9,000","7,100","1,900","4,000","3,100","1,500"
,Other property,"2,200","1,800",300,"1,000",800,300
Drug/f,,"96,500","89,100","7,400","20,800","37,400","36,300"
Public order,,"69,100","66,800","2,200","21,300","22,200","24,200"
,Immigration,"17,200","16,700",500,600,300,"16,300"
,Weapons,"30,500","30,000",500,"7,600","17,700","4,500"
,Other,"21,400","20,200","1,200","13,000","4,300","3,400"
Other/unspecified/g,,"1,400","1,300",100,700,300,200
Note: Counts are based on sentenced prisoners under federal jurisdiction regardless of sentence length. Detail may not sum to total due to rounding and missing data. See Methodology.,,,,,,,
a/Includes American Indians and Alaska Natives; Asians; Native Hawaiians and other Pacific Islanders; and persons of two or more races.,,,,,,,
b/Excludes persons of Hispanic or Latino origin and persons of two or more races. ,,,,,,,
c/Includes all sentenced inmates under federal jurisdiction regardless of sentence length.,,,,,,,
d/Race totals are rounded to the nearest 100 to accommodate differences in data collection techniques between jurisdictions.,,,,,,,
"e/Includes murder, negligent, and nonnegligent manslaughter.",,,,,,,
"f/Includes trafficking, possession, and other drug offenses.",,,,,,,
g/Includes offenses not classified.,,,,,,,
"Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2014.",,,,,,,
