Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: p14t11.csv,,,,,,,,,,,,,
"Table 11. Estimated percent of sentenced prisoners under state jurisdiction, by offense, sex, race, and Hispanic origin, December 31, 2013",,,,,,,,,,,,,
Report title: Prisoners in 2014 NCJ 248955,,,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,,,
Author(s): E. Ann Carson,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,
Date of version: 09/08/2015,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 11. Estimated percent of sentenced prisoners under state jurisdiction, by offense, sex, race, and Hispanic origin, December 31, 2013",,,,,,,,,,,,,
Most serious offense,,All inmates/a,,Male,,Female,,White/b,,Black/b,,Hispanic,
,Total,100,%,100,%,100,%,100,%,100,%,100,%
Violent,,53.2,%,54,%,37,%,47.8,%,56.8,%,59,%
,Murder/c,12.5,,12.6,,11,,9.6,,14,,14.2,
,Manslaughter,1,,1.3,,3,,1.5,,0.8,,1.1,
,Rape/sexual assault,13,,13,,2,,16.7,,8,,13.6,
,Robbery,14,,14,,9,,8,,20,,13.5,
,Aggravated/simple assault,10,,10,,9,,8.8,,10.9,,13,
,Other,3.1,,3,,4,,3.2,,3.5,,3.7,
Property,,19.3,%,19,%,28,%,25,%,16.4,%,13.5,%
,Burglary,10.5,,10.7,,7.6,,12.4,,9.7,,8.3,
,Larceny-theft,3.8,,3,,9,,5.7,,4,,2.1,
,Motor vehicle theft,0.8,,1,,0.8,,1.1,,1,,1,
,Fraud,2,,2,,8,,3.1,,2,,1,
,Other,2,,2,,3,,2.9,,1.3,,1.2,
Drug,,15.7,%,15.1,%,24,%,14.5,%,16.1,%,14.5,%
,Drug possession,4,,3.4,,6.2,,3.8,,4,,4.2,
,Other/d,12.1,,11.7,,17.8,,10.7,,12.3,,10.4,
Public order,,11,%,11.2,%,9.2,%,11.9,%,10.3,%,12.2,%
,Weapons,3.8,,4,,1.7,,2.4,,5,,5.1,
,Driving under the influence,2,,1.9,,2.4,,2.9,,1,,2.4,
,Other/e,5.3,,5.3,,5.1,,6.7,,4.7,,4.7,
Other/unspecified/f,,0.8,%,0.8,%,1.3,%,0.7,%,0.4,%,0.5,%
,Total number of sentenced inmates/g,"1,325,305",,"1,233,724",,"91,581",,"468,600",,"497,000",,"274,200",
Note: Estimates are based on state prisoners with a sentence of more than 1 year under the jurisdiction of state correctional officials. Detail may not sum to total due to rounding and missing offense data. See Methodology.,,,,,,,,,,,,,
"a/Includes American Indians and Alaska Natives; Asians, Native Hawaiians, and other Pacific Islanders; and persons of two or more races.",,,,,,,,,,,,,
b/Excludes persons of Hispanic or Latino origin and persons of two or more races.,,,,,,,,,,,,,
c/Includes nonnegligent manslaughter.,,,,,,,,,,,,,
d/Includes trafficking and other drug offenses.,,,,,,,,,,,,,
"e/Includes court offenses; commercialized vice, morals, and decency offenses; and liquor law violations and other public-order offenses.",,,,,,,,,,,,,
f/Includes juvenile offenses and other unspecified offense categories. ,,,,,,,,,,,,,
g/Race totals are rounded to the nearest 100 to accommodate differences in data collection techniques between jurisdictions.,,,,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics, 2013; National Corrections Reporting Program, 2013; and Survey of Inmates in State Correctional Facilities, 2004.",,,,,,,,,,,,,
