Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: p14t12.csv,,,,,,,,,,,,,
"Table 12. Estimated percent of sentenced prisoners under federal correctional authority, by most serious offense, sex, race, and Hispanic origin, September 30, 2014",,,,,,,,,,,,,
Report title: Prisoners in 2014 NCJ 248955,,,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,,,
Author(s): E. Ann Carson,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,
Date of version: 09/08/2015,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 12. Estimated percent of sentenced prisoners under federal correctional authority, by most serious offense, sex, race, and Hispanic origin, September 30, 2014",,,,,,,,,,,,,
Most serious offense,,All inmates/a,,Male,,Female,,White/b,,Black/b,,Hispanic,
Violent,,7.3,%,8,%,4,%,7.1,%,9.9,%,2,%
,Homicide/c,1.5,,2,,1,,0.7,,2.4,,0,
,Robbery,3.8,,3.9,,2,,5,,6,,0.9,
,Other violent,2,,2.2,,1,,1.5,,2,,0.8,
Property,,6,%,5,%,18,%,10,%,5.9,%,2.7,%
,Burglary,0,,0,,0,,0.2,,0,,0,
,Fraud,4.7,,4,,16,,7.8,,4.4,,2.3,
,Other property,1.1,,1,,3,,2,,1.1,,0.4,
Drugd,,50.1,%,49.5,%,58.8,%,40,%,52.5,%,56.9,%
Public order,,35.9,%,37.1,%,18,%,41.2,%,31.2,%,38,%
,Immigration,8.9,,9,,3.7,,1.2,,0,,25.5,
,Weapons,15.8,,17,,4.3,,14.8,,25,,7.1,
,Other,11,,11,,10,,25.3,,6,,5,
Other/unspecified/e,,0.7,%,0.7,%,0.6,%,1.4,%,0.5,%,0.4,%
,Total number of sentenced inmatesf,"192,663",,"180,140",,"12,523",,"51,600",,"71,300",,"63,700",
"Note: Counts are based on sentenced prisoners under federal jurisdiction, regardless of sentence length. Detail may not sum to total due to rounding and missing offense data. ",,,,,,,,,,,,,
See Methodology.,,,,,,,,,,,,,
"a/Includes American Indians and Alaska Natives; Asians, Native Hawaiians, and other Pacific Islanders; and persons of two or more races.",,,,,,,,,,,,,
b/Excludes persons of Hispanic or Latino origin and persons of two or more races.,,,,,,,,,,,,,
"c/Includes murder, negligent, and nonnegligent manslaughter.",,,,,,,,,,,,,
"d/Includes trafficking, possession, and other drug offenses.",,,,,,,,,,,,,
e/Includes offenses not classified. ,,,,,,,,,,,,,
"f/Includes sentenced inmates under federal jurisdiction, regardless of sentence length.",,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2014.",,,,,,,,,,,,,
