Bureau of Justice Statistics,,,,,,,,,,,
Filename: p14t14.csv,,,,,,,,,,,
"Table 14. Percent of prisoners under military correctional authority with sentences of any length, by most serious offense and military branch of service, December 31, 2014",,,,,,,,,,,
Report title: Prisoners in 2014 NCJ 248955,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,
Author(s): E. Ann Carson,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,
Date of version: 09/08/2015,,,,,,,,,,,
,,,,,,,,,,,
"Table 14. Percent of prisoners under military correctional authority with sentences of any length, by most serious offense and military branch of service, December 31, 2014",,,,,,,,,,,
Most serious offense,,Tota/la,,Air Force,,Army,,Marine Corps,,Navy,
,Total,100,%,100,%,100,%,100,%,100,%
Sexual,,61.7,%,69,%,57,%,56,%,75.8,%
,Violent,24,,27.1,,22,,18.9,,33.5,
,Nonviolent/b,37.2,,42,,35,,37,,42.3,
Other violent,,18.2,%,12,%,23,%,12,%,13.2,%
,Murder/c,7.8,,4,,10,,6.7,,6,
,Manslaughter,0.6,,0,,1,,0.6,,1.1,
,Robbery,0.3,,0,,0.6,,0,,0,
,Aggravated/simple assault,8,,7.6,,10,,4.3,,4.9,
,Other violent,1.4,,0,,2.1,,0.6,,1,
Property,,5,%,3,%,4.9,%,14,%,0.5,%
,Burglary,1,,0,,1,,0,,0,
,Larceny-theft,3.1,,1.7,,2.8,,8.5,,0.5,
,Motor vehicle theft,0,,0,,0,,0,,0,
,Fraud,0,,0,,0.4,,0,,0,
,Other property,1.2,,0.4,,0.7,,5.5,,0,
Drug/d,,6.5,%,13.6,%,4.2,%,11,%,1.6,%
Public order,,0.2,%,0,%,0.3,%,0,%,0,%
Military offenses,,2.8,%,0,%,2.4,%,3.7,%,6,%
Other/unspecified,,5.6,%,2.5,%,8.1,%,3.7,%,2.7,%
,Total number of prisoners,"1,268",236,667,164,182,,,,,
Note: Counts based on prisoners sentenced to any length of time under military correctional authority. Does not include pretrial detainees. Coast Guard offense distribution not shown due to too few cases.,,,,,,,,,,,
a/Includes prisoners who served in the Coast Guard (not shown separately).,,,,,,,,,,,
"b/Includes sexual harrassment, indecent exposure and other acts, prostitution, stalking, and other nonviolent sexual misconduct.",,,,,,,,,,,
c/Includes nonnegligent manslaughter.,,,,,,,,,,,
"d/Includes possession, use, trafficking, and other drug crimes.",,,,,,,,,,,
"Source: Bureau of Justice Statistics, based on data from the Office of the Under Secretary for Defense for Personnel and Readiness, U.S. Department of Defense, 2014.",,,,,,,,,,,
