Bureau of Justice Statistics,,,,,,,
File name: p15at05.csv,,,,,,,
"Appendix Table 5. Number of sentenced prisoners under the jurisdiction of state correctional authority, by most serious offense, sex, race, and Hispanic origin, December 31, 2014",,,,,,,
"Report title: Prisoners in 2015,  NCJ 250229",,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2014; National Corrections Reporting Program, 2014; and Survey of Inmates in State Correctional Facilities, 2004.",,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician,  Elizabeth Anderson, BJS Intern",,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,
Date of version: 12/29/2016,,,,,,,
,,,,,,,
"Appendix Table 5. Number of sentenced prisoners under the jurisdiction of state correctional authority, by most serious offense, sex, race, and Hispanic origin, December 31, 2014",,,,,,,
,,,,,,,
Most serious offense,,All prisoners/a,Male,Female,White/b,Black/b,Hispanic
,Total/c,"1,316,409","1,222,873","93,536","451,100","456,600","261,000"
Violent,,"696,900","663,600","33,500","210,400","263,800","152,900"
,Murder/d,"171,700","161,500","10,300","46,000","68,100","43,700"
,Manslaughter,"17,100","15,000","2,100","6,400","3,700","3,300"
,Rape/sexual assault,"162,800","160,900","2,000","71,600","36,600","31,300"
,Robbery,"168,600","161,200","7,500","33,500","88,600","26,700"
,Aggravated/simple assault,"134,400","126,600","7,800","39,000","51,200","36,400"
,Other,"42,200","38,500","3,800","14,000","15,500","11,400"
Property,,"249,900","223,700","26,000","111,800","72,900","42,600"
,Burglary,"132,600","126,000","6,700","53,700","44,500","22,800"
,Larceny-theft,"47,000","39,400","7,500","23,400","12,900","7,400"
,Motor vehicle theft,"11,100","10,300",800,"4,600","2,400","3,400"
,Fraud,"29,700","21,500","8,000","15,300","7,200","4,300"
,Other,"29,500","26,500","3,000","14,700","5,900","4,800"
Drug,,"206,300","182,700","23,500","67,800","68,000","28,800"
,Drug possession,"46,000","39,900","6,100","17,400","16,100","5,700"
,Other/e,"160,300","142,900","17,300","50,500","51,800","23,100"
Public order,,"152,800","143,300","9,500","57,500","50,000","35,400"
,Weapons,"51,100","49,400","1,700","11,300","23,600","9,100"
,Driving under the influence,"27,900","25,200","2,700","13,700","3,400","11,700"
,Other/f,"73,900","68,700","5,100","32,600","23,100","14,600"
Other/unspecified/g,,"10,600","9,500","1,100","3,500","2,000","1,300"
"Note: Jurisdiction refers to the legal authority of state correctional officials over a prisoner, regardless of where the prisoner is held. Estimates are based on state prisoners with a sentence of more than 1 year. Detail may not sum to total due to rounding and missing offense data. See Methodology.",,,,,,,
"a/Includes American Indian or Alaska Natives; Asians, Native Hawaiian, or Other Pacific Islanders; persons of two or more races; or other.",,,,,,,
b/Excludes persons of Hispanic or Latino origin and persons of two or more races.,,,,,,,
c/Race and Hispanic origin totals are rounded to the nearest 100 to accommodate differences in data collection techniques between jurisdictions.,,,,,,,
d/Includes nonnegligent manslaughter.,,,,,,,
e/Includes trafficking and other drug offenses.,,,,,,,
"f/Includes court offenses; commercialized vice, morals, and decency offenses; and liquor law violations and other public order offenses.",,,,,,,
g/Includes juvenile offenses and other unspecified offense categories.,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2014; National Corrections Reporting Program, 2014; and Survey of Inmates in State Correctional Facilities, 2004.",,,,,,,
