Bureau of Justice Statistics,,,,,,,
File name: p15at06.csv,,,,,,,
"Appendix Table 6. Number of sentenced prisoners under the jurisdiction of federal correctional authority, by most serious offense, sex, race, and Hispanic origin September 30, 2015",,,,,,,
"Report title: Prisoners in 2015,  NCJ 250229",,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2015",,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician,  Elizabeth Anderson, BJS Intern",,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,
Date of version: 12/29/2016,,,,,,,
,,,,,,,
"Appendix Table 6. Number of sentenced prisoners under the jurisdiction of federal correctional authority, by most serious offense, sex, race, and Hispanic origin September 30, 2015",,,,,,,
Most serious offense,,All prisoners/a,Male,Female,White/b,Black/b,Hispanic
,Total,"185,917","173,857","12,060","50,300","69,000","60,800"
Violent,,"13,700","13,200",500,"3,500","6,900","1,300"
,Homicide/c,"2,800","2,600",200,400,"1,700",200
,Robbery,"6,900","6,700",200,"2,400","3,900",600
,Other,"4,000","3,800",100,800,"1,400",500
Property,,"11,200","9,000","2,200","4,800","4,200","1,700"
,Burglary,400,400,0,100,300,0
,Fraud,"8,800","6,900","1,900","3,800","3,200","1,400"
,Other,"2,000","1,700",300,900,700,300
Drug/d,,"92,000","85,000","7,100","19,900","35,200","35,000"
Public order,,"67,500","65,300","2,200","21,300","22,400","22,500"
,Immigration,"14,900","14,500",400,400,200,"14,200"
,Weapons,"30,200","29,700",500,"7,400","17,400","4,700"
,Other,"22,400","21,100","1,300","13,400","4,700","3,600"
Other/unspecified/e,,"1,400","1,400",100,700,300,200
"Note: Jurisdiction refers to the legal authority of federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts are based on sentenced prisoners under federal jurisdiction on September 30, 2015, regardless of sentence length. Detail may not sum to total due to rounding and missing offense data. See Methodology.",,,,,,,
"a/Includes American Indian and Alaska Natives; Asian, Native Hawaiian, and Other Pacific Islanders; and persons of two or more races.",,,,,,,
b/Excludes persons of Hispanic or Latino origin and persons of two or more races.,,,,,,,
"c/Includes murder, negligent manslaughter, and nonnegligent manslaughter.",,,,,,,
"d/Includes trafficking, possession, and other drug offenses.",,,,,,,
e/Includes offenses not classified.,,,,,,,
"Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2015.",,,,,,,
