Bureau of Justice Statistics,,,,,,,,,,,,,
File name: p15t09.csv,,,,,,,,,,,,,
"Table 9. Percent of sentenced prisoners under the jurisdiction of state correctional authority, by most serious offense, sex, race, and Hispanic origin, December 31, 2014",,,,,,,,,,,,,
"Report title: Prisoners in 2015,  NCJ 250229",,,,,,,,,,,,,
"Data source:  Bureau of Justice Statistics, National Prisoner Statistics, 2014; National Corrections Reporting Program, 2014; and Survey of Inmates in State Correctional Facilities, 2004.",,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician,  Elizabeth Anderson, BJS Intern",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,
Date of version: 12/29/2016,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 9. Percent of sentenced prisoners under the jurisdiction of state correctional authority, by most serious offense, sex, race, and Hispanic origin, December 31, 2014",,,,,,,,,,,,,
,,,,,,,,,,,,,
Most serious offense,,All prisoners/a,,Male,,Female,,White/b,,Black/b,,Hispanic,
,Total,100,%,100,%,100,%,100,%,100,%,100,%
Violent,,52.9,%,54.3,%,35.8,%,46.6,%,57.8,%,58.7,%
,Murder/c,13,,13.2,,11,,10.2,,14.9,,14.7,
,Manslaughter,1.3,,1.2,,2.3,,1.4,,0.8,,1,
,Rape/sexual assault,12.4,,13.2,,2.2,,15.9,,8,,13.1,
,Robbery,12.8,,13.2,,8,,7.4,,19.4,,12.9,
,Aggravated/simple assault,10.2,,10.4,,8.3,,8.6,,11.2,,13.2,
,Other,3.2,,3.1,,4,,3.1,,3.4,,3.9,
Property,,19,%,18.3,%,27.8,%,24.8,%,16,%,13.6,%
,Burglary,10.1,,10.3,,7.2,,11.9,,9.7,,8,
,Larceny-theft,3.6,,3.2,,8,,5.2,,2.8,,2.4,
,Motor vehicle theft,0.8,,0.8,,0.9,,1,,0.5,,0.9,
,Fraud,2.3,,1.8,,8.6,,3.4,,1.6,,1.1,
,Other,2.2,,2.2,,3.2,,3.3,,1.3,,1.3,
Drug,,15.7,%,14.9,%,25.1,%,15,%,14.9,%,14.6,%
,Drug possession,3.5,,3.3,,6.5,,3.9,,3.5,,3.5,
,Other/d,12.2,,11.7,,18.5,,11.2,,11.3,,11.1,
Public order,,11.6,%,11.7,%,10.2,%,12.8,%,11,%,12.6,%
,Weapons,3.9,,4,,1.8,,2.5,,5.2,,5.1,
,Driving under the influence,2.1,,2.1,,2.9,,3,,0.7,,2.7,
,Other/e,5.6,,5.6,,5.5,,7.2,,5.1,,4.8,
Other/unspecified/f,,0.8,%,0.8,%,1.1,%,0.8,%,0.4,%,0.4,%
,Total number of sentenced prisoners/g,1316409,,1222873,,93536,,451100,,456600,,261000,
"Note: Jurisdiction refers to the legal authority of state correctional officials over a prisoner, regardless of where the prisoner is held. Counts are based on prisoners with a sentence of more than 1 year. Detail may not sum to total due to rounding and missing offense data. See Methodology.",,,,,,,,,,,,,
"a/Includes American Indians and Alaska Natives; Asians, Native Hawaiians, and Other Pacific Islanders; and persons of two or more races.",,,,,,,,,,,,,
b/Excludes persons of Hispanic or Latino origin and persons of two or more races.,,,,,,,,,,,,,
c/Includes nonnegligent manslaughter.,,,,,,,,,,,,,
d/Includes trafficking and other drug offenses.,,,,,,,,,,,,,
"e/Includes court offenses; commercialized vice, morals, and decency offenses; and liquor law violations and other public order offenses.",,,,,,,,,,,,,
f/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,,,,,
g/Race and Hispanic origin totals are rounded to the nearest 100 to accommodate differences in data collection techniques between jurisdictions.,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2014; National Corrections Reporting Program, 2014; and Survey of Inmates in State Correctional Facilities, 2004.",,,,,,,,,,,,,
