Bureau of Justice Statistics,,,,,,,,,,,,,
File name: p15t10.csv,,,,,,,,,,,,,
"Table 10. Percent of sentenced prisoners under the jurisdiction of federal correctional authority, by most serious offense, sex, race, and Hispanic origin, September 30, 2015",,,,,,,,,,,,,
"Report title: Prisoners in 2015,  NCJ 250229",,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2015 (preliminary).",,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician,  Elizabeth Anderson, BJS Intern",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,
Date of version: 12/29/2016,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 10. Percent of sentenced prisoners under the jurisdiction of federal correctional authority, by most serious offense, sex, race, and Hispanic origin, September 30, 2015",,,,,,,,,,,,,
,,,,,,,,,,,,,
Most serious offense,,All prisoners/a,,Male,,Female,,White/b,,Black/b,,Hispanic,
,Total,100,%,100,%,100,%,100,%,100,%,100,%
Violent,,7.4,%,7.6,%,4.1,%,7,%,10,%,2.1,%
,Homicide/c,1.5,,1.5,,1.3,,0.7,,2.4,,0.3,
,Robbery,3.7,,3.9,,1.6,,4.7,,5.6,,0.9,
,Other,2.1,,2.2,,1.2,,1.6,,2,,0.9,
Property,,6,%,5.2,%,18.2,%,9.6,%,6.1,%,2.8,%
,Burglary,0.2,,0.2,,0.1,,0.1,,0.4,,0,
,Fraud,4.7,,4,,15.4,,7.6,,4.6,,2.3,
,Other,1.1,,1,,2.7,,1.9,,1.1,,0.4,
Drug/d,,49.5,%,48.9,%,58.6,%,39.6,%,51,%,57.7,%
Public order,,36.3,%,37.6,%,18.3,%,42.4,%,32.4,%,37,%
,Immigration,8,,8.4,,3.3,,0.9,,0.3,,23.4,
,Weapons,16.3,,17.1,,4.3,,14.8,,25.2,,7.7,
,Other,12,,12.1,,10.7,,26.7,,6.9,,5.9,
Other/unspecified/e,,0.8,%,0.8,%,0.7,%,1.5,%,0.5,%,0.4,%
,Total number of sentenced prisoners,"185,917",,"173,857",,"12,060",,"50,300",,"69,000",,"60,800",
"Note: Jurisdiction refers to the legal authority of federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts are based on sentenced prisoners of all sentence lengths under federal jurisdiction on September 30, 2015. Detail may not sum to total due to rounding and missing offense data. See Methodology.",,,,,,,,,,,,,
"a/Includes American Indians and Alaska Natives; Asians, Native Hawaiians, and other Pacific Islanders; and persons of two or more races.",,,,,,,,,,,,,
b/Excludes persons of Hispanic or Latino origin and persons of two or more races.,,,,,,,,,,,,,
"c/Includes murder, negligent manslaughter, and nonnegligent manslaughter.",,,,,,,,,,,,,
"d/Includes trafficking, possession, and other drug offenses.",,,,,,,,,,,,,
e/Includes offenses not classified.,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2015 (preliminary).",,,,,,,,,,,,,
