Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: p16t12.csv,,,,,,,,,,,,,
"Table 12. Percent of sentenced prisoners under jurisdiction of state correctional authority, by most serious offense, sex, race, and Hispanic origin, December 31, 2015",,,,,,,,,,,,,
Report title: Prisoners in 2016 NCJ 251149,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2015; National Corrections Reporting Program, 2015; Survey of Inmates in State Correctional Facilities, 2004; and Survey of Prison Inmates, 2016 (preliminary).",,,,,,,,,,,,,
"Author(s): E. Ann Carson, BJS Statistician",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,
Date of version: 1/2/2018,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 12. Percent of sentenced prisoners under jurisdiction of state correctional authority, by most serious offense, sex, race, and Hispanic origin, December 31, 2015",,,,,,,,,,,,,
Most serious offense,,All prisoners/a,,Male,,Female,,White/b,,Black/b,,Hispanic,
,Total,100,%,100,%,100,%,100,%,100,%,100,%
Violent,,54.5,%,55.9,%,37.0,%,47.1,%,58.8,%,60.2,%
,Murder/c,13.7,,13.8,,11.6,,10.2,,15.6,,15.3,
,Manslaughter,1.3,,1.3,,2.4,,1.4,,0.8,,1.0,
,Rape or sexual assault,12.5,,13.3,,2.4,,16.0,,8.2,,13.6,
,Robbery,13.2,,13.6,,8.1,,7.5,,19.3,,12.9,
,Aggravated or simple assault,10.5,,10.6,,8.6,,8.9,,11.6,,13.3,
,Other,3.4,,3.3,,3.9,,3.1,,3.4,,4.1,
Property,,18.0,%,17.3,%,26.9,%,24.0,%,15.2,%,12.8,%
,Burglary,9.7,,9.9,,7.3,,11.6,,9.2,,7.6,
,Larceny-theft,3.7,,3.3,,8.8,,5.2,,2.8,,2.2,
,Motor vehicle theft,0.7,,0.7,,0.8,,1.0,,0.5,,0.9,
,Fraud,1.9,,1.5,,7.1,,3.1,,1.4,,1.0,
,Other,2.0,,1.9,,3.0,,3.1,,1.2,,1.1,
Drug,,15.2,%,14.4,%,24.9,%,15.1,%,14.4,%,13.9,%
,Drug possession,3.4,,3.2,,6.8,,3.7,,3.2,,3.1,
,Other/d,11.7,,11.3,,18.1,,11.4,,11.1,,10.8,
Public order,,11.6,%,11.7,%,10.2,%,12.9,%,11.2,%,12.7,%
,Weapons,3.9,,4.1,,1.7,,2.6,,5.3,,5.0,
,DUI,1.9,,1.9,,2.6,,2.9,,0.8,,2.7,
,Other/e,5.7,,5.7,,5.9,,7.4,,5.1,,4.9,
Other/unspecified/f,,0.7,%,0.7,%,1.0,%,0.9,%,0.4,%,0.4,%
,Total number of sentenced prisoners/g,"1,298,159",,"1,204,799",,"93,360",,"403,600",,"429,000",,"278,600",
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Estimates are based on state prisoners with a sentence of more than 1 year. Detail may not sum to total due to rounding and missing offense data. See Methodology.",,,,,,,,,,,,,
"a/Includes American Indians and Alaska Natives; Asians, Native Hawaiians, or Other Pacific Islanders; and persons of two or more races.",,,,,,,,,,,,,
b/Excludes persons of Hispanic or Latino origin and persons of two or more races.,,,,,,,,,,,,,
c/Includes nonnegligent manslaughter.,,,,,,,,,,,,,
d/Includes trafficking and other drug offenses.,,,,,,,,,,,,,
"e/Includes court offenses; commercialized vice, morals, and decency offenses; liquor law violations; and other public order offenses.",,,,,,,,,,,,,
f/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,,,,,
g/Race and Hispanic origin totals are rounded to the nearest 100 to accommodate differences in data collection techniques between jurisdictions.,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2015; National Corrections Reporting Program, 2015; Survey of Inmates in State Correctional Facilities, 2004; and Survey of Prison Inmates, 2016 (preliminary).",,,,,,,,,,,,,
