Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: p16t14.csv,,,,,,,,,,,,,
"Table 14. Percent of sentenced prisoners under jurisdiction of federal correctional authority, by most serious offense, sex, race, and Hispanic origin, September 30, 2016",,,,,,,,,,,,,
Report title: Prisoners in 2016 NCJ 251149,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2016 (preliminary).",,,,,,,,,,,,,
"Author(s): E. Ann Carson, BJS Statistician",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,
Date of version: 1/9/2018,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 14. Percent of sentenced prisoners under jurisdiction of federal correctional authority, by most serious offense, sex, race, and Hispanic origin, September 30, 2016",,,,,,,,,,,,,
Most serious offense,,All prisoners/a,,Male,,Female,,"White/b,f",,"Black/b,f",,Hispanic/f,
,Total,100,%,100,%,100,%,100,%,100,%,100,%
Violent,,7.7,%,8,%,4.5,%,7.1,%,10.4,%,2.4,%
,Homicide/c,1.6,,1.6,,1.4,,0.7,,2.6,,0.4,
,Robbery,3.8,,4,,1.7,,4.7,,5.8,,1,
,Other,2.3,,2.4,,1.4,,1.7,,2.1,,0.9,
Property,,6.1,%,5.2,%,18.6,%,9.1,%,6.4,%,2.9,%
,Burglary,0.2,,0.2,,0.2,,0.1,,0.4,,0,
,Fraud,4.8,,4,,15.8,,7.3,,5,,2.4,
,Other,1.1,,1,,2.7,,1.8,,1.1,,0.4,
Drug/d,,47.5,%,46.8,%,56.4,%,37.5,%,48.5,%,56.5,%
Public order,,38.2,%,39.5,%,19.7,%,45.3,%,34.4,%,37.9,%
,Immigration,7.7,,8,,3.3,,0.8,,0.3,,22.7,
,Weapons,16.7,,17.6,,4.1,,14.6,,26,,8.2,
,Other,13.8,,13.9,,12.3,,29.9,,8,,7,
Other/unspecified/e,,0.5,%,0.5,%,0.7,%,0.9,%,0.3,%,0.3,%
,Total number of sentenced prisoners/f,"172,554",,"161,332",,"11,222",,"47,300",,"63,900",,"55,800",
"Note: Jurisdiction refers to the legal authority of federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts are based on sentenced prisoners of all sentence lengths under federal jurisdiction on September 30, 2016. Detail may not sum to total due to rounding. See Methodology.",,,,,,,,,,,,,
"a/Includes American Indians and Alaska Natives; Asians, Native Hawaiians, and Other Pacific Islanders; and persons of two or more races.",,,,,,,,,,,,,
b/Excludes persons of Hispanic or Latino origin and persons of two or more races.,,,,,,,,,,,,,
c/Includes murder and negligent and nonnegligent manslaughter.,,,,,,,,,,,,,
"d/Includes trafficking, possession, and other drug offenses. More than 99% of federal drug offenders are sentenced for trafficking.",,,,,,,,,,,,,
e/Includes offenses not classified.,,,,,,,,,,,,,
f/Race and Hispanic origin totals are rounded to the nearest 100 to accommodate differences in data collection techniques between jurisdictions. Race and Hispanic origin data are not adjusted to self-report data.,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2016 (preliminary).",,,,,,,,,,,,,
