Bureau of Justice Statistics,,,,,,,
Filename: p16t15.csv,,,,,,,
"Table 15. Number of sentenced prisoners under jurisdiction of federal correctional authority, by most serious offense, that race, sex and Hispanic origin, September 30, 2016",,,,,,,
Report title: Prisoners in 2016 NCJ 251149,,,,,,,
"Data source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2016 (preliminary).",,,,,,,
"Author(s): E. Ann Carson, BJS Statistician",,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,
Date of version: 1/9/2018,,,,,,,
,,,,,,,
,,,,,,,
"Table 15. Number of sentenced prisoners under jurisdiction of federal correctional authority, by most serious offense, that race, sex and Hispanic origin, September 30, 2016",,,,,,,
Most serious offense,,All prisoners/a,Male,Female,"White/b,g","Black/b,g",Hispanic/g
,Total/c,"172,554","161,332","11,222","47,300","63,900","55,800"
Violent,,"13,400","12,800",600,"3,300","6,700","1,300"
,Homicide/d,"2,800","2,600",200,300,"1,700",200
,Robbery,"6,600","6,400",200,"2,200","3,700",600
,Other,"4,000","3,800",200,800,"1,300",500
Property,,"10,600","8,500","2,100","4,300","4,200","1,500"
,Burglary,400,400,0,100,300,0
,Fraud,"8,300","6,500","1,800","3,400","3,200","1,300"
,Other,"1,900","1,600",300,800,700,200
Drug/e,,"81,900","75,600","6,300","17,700","31,000","31,600"
Public order,,"65,900","63,700","2,300","21,400","21,900","21,200"
,Immigration,"13,300","12,900",400,400,200,"12,700"
,Weapons,"28,800","28,300",500,"6,900","16,600","4,600"
,Other,"23,800","22,500","1,400","14,100","5,100","3,900"
Other/unspecified/f,,900,800,100,400,200,200
"Note: Jurisdiction refers to the legal authority of federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts are based on sentenced prisoners of all sentence lengths under federal jurisdiction on September 30, 2016. Detail may not sum to total due to rounding.",,,,,,,
"a/Includes American Indians and Alaska Natives; Asians, Native Hawaiians, and Other Pacific Islanders; and persons of two or more races.",,,,,,,
b/Excludes persons of Hispanic or Latino origin and persons of two or more races.,,,,,,,
c/Race and Hispanic origin totals are rounded to the nearest 100 to accommodate differences in data collection techniques between jurisdictions. ,,,,,,,
d/Includes murder and negligent and nonnegligent manslaughter.,,,,,,,
"e/Includes trafficking, possession, and other drug offenses. More than 99% of federal drug offenders are sentenced for trafficking.",,,,,,,
f/Includes offenses not classified.,,,,,,,
g/Race and Hispanic origin data are not adjusted to self-report data,,,,,,,
"Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2016 (preliminary).",,,,,,,
