Bureau of Justice Statistics,,,,,,,,,,,
Filename: p16t19.csv,,,,,,,,,,,
"Table 19. Percent of prisoners under jurisdiction of military correctional authority, with sentences of any length, by most serious offense and branch of service, December 31, 2016",,,,,,,,,,,
Report title: Prisoners in 2016 NCJ 251149,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, based on data from the Office of the Under Secretary for Defense for Personnel and Readiness, U.S. Department of Defense, 2016.",,,,,,,,,,,
"Author(s): E. Ann Carson, BJS Statistician",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,
Date of version: 1/2/2018,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Table 19. Percent of prisoners under jurisdiction of military correctional authority, with sentences of any length, by most serious offense and branch of service, December 31, 2016",,,,,,,,,,,
Most serious offense,,Total/a,,Air Force,,Army,,Marine Corps,,Navy,
,Total,100,%,100,%,100,%,100,%,100,%
Violent offenses,,42.9,%,41.8,%,44.7,%,41.7,%,39.6,%
Nonviolent offenses,,57.1,%,58.3,%,55.3,%,58.3,%,60.4,%
,Total,100.0,%,100.0,%,100.0,%,100.0,%,100.0,%
Sexual,,65.5,%,70.5,%,66.4,%,55.7,%,64.5,%
,Violent,27.9,,31.8,,26.4,,29.2,,26.0,
,Nonviolent/b,37.5,,38.6,,39.9,,26.6,,38.5,
Other violent,,15.0,%,10.0,%,18.2,%,12.5,%,13.6,%
,Murder/c,6.4,,5.0,,8.0,,5.2,,4.1,
,Manslaughter,0.5,,0.5,,0.3,,0.0,,1.8,
,Robbery,0.5,,0.0,,0.8,,0.5,,0.0,
,Aggravated/simple assualt,6.8,,4.1,,8.0,,6.3,,7.1,
,Other,0.8,,0.5,,1.1,,0.5,,0.6,
Property,,4.2,%,2.3,%,4.2,%,6.3,%,4.7,%
,Burglary,0.6,,0.5,,0.3,,1.6,,0.6,
,Larceny-theft,0.0,,0.9,,2.2,,4.2,,3.0,
,Motor vehicle theft,0.0,,0.0,,0.0,,0.0,,0.0,
,Fraud,0.7,,0.9,,0.9,,0.0,,0.6,
,Other,0.6,,0.0,,0.8,,0.5,,0.6,
Drug/d,,6.4,%,11.8,%,2.7,%,9.4,%,10.1,%
Public order,,0.3,%,0.5,%,0.3,%,0.0,%,0.6,%
Military,,5.2,%,3.6,%,2.5,%,15.1,%,5.3,%
Other/unspecified,,3.5,%,1.4,%,5.7,%,1.0,%,1.2,%
,Total number of prisoners,"1,236",,220,,636,,192,,169,
Note: Counts are based on prisoners sentenced to any length of time under military correctional authority. Excludes pretrial detainees. Coast Guard offense distribution not shown due to too few cases.,,,,,,,,,,,
a/Includes prisoners who served in the Coast Guard (not shown separately).,,,,,,,,,,,
"b/Includes sexual harassment, indecent exposure and other acts, prostitution, stalking, and other nonviolent sexual misconduct.",,,,,,,,,,,
c/Includes nonnegligent manslaughter.,,,,,,,,,,,
"d/Includes possession, use, trafficking, and other drug crimes.",,,,,,,,,,,
"Source: Bureau of Justice Statistics, based on data from the Office of the Under Secretary for Defense for Personnel and Readiness, U.S. Department of Defense, 2016.",,,,,,,,,,,
