Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: p17t12.csv,,,,,,,,,,,,,
"Table 12. Sentenced prisoners under jurisdiction of state correctional authorities, percentages by most serious offense, sex, race, and Hispanic origin, December 31, 2016",,,,,,,,,,,,,
Report title: Prisoners in 2017  NCJ 252156,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2016; National Corrections Reporting Program, 2016; and Survey of Prison Inmates, 2016.",,,,,,,,,,,,,
"Authors: Jennifer Bronson, Ph.D., and E. Ann Carson, Ph.D., BJS Statisticians",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,
Date of version: 4/25/2019,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
"Table 12. Sentenced prisoners under jurisdiction of state correctional authorities, percentages by most serious offense, sex, race, and Hispanic origin, December 31, 2016",,,,,,,,,,,,,
Most serious offense,,All prisoners/a,,Male,,Female,,White/b,,Black/b,,Hispanic,
,Total,100,%,100,%,100,%,100,%,100,%,100,%
Violent,,55.2,%,56.5,%,37.5,%,47.6,%,60.1,%,60.4,%
,Murder/c,14.2,,14.3,,12,,10.5,,16.3,,15.5,
,Negligent manslaughter,1.3,,1.3,,2.5,,1.3,,0.8,,1,
,Rape/sexual assault,12.8,,13.6,,2.4,,16.4,,8.3,,14,
,Robbery,13.1,,13.5,,8,,7.2,,19.3,,12.7,
,Aggravated/simple assault,10.5,,10.6,,8.8,,9.1,,11.8,,13.3,
,Other,3.3,,3.2,,3.8,,3.1,,3.7,,3.8,
Property,,17.5,%,16.9,%,26.4,%,23.8,%,14.5,%,12.3,%
,Burglary,9.4,,9.6,,7.1,,11.5,,8.7,,7.1,
,Larceny-theft,3.4,,3,,8.4,,5.4,,3,,2.1,
,Motor vehicle theft,0.7,,0.7,,0.8,,1,,0.6,,0.9,
,Fraud,2,,1.6,,7.1,,2.9,,1.2,,1,
,Other,2,,1.9,,2.9,,2.9,,1,,1.1,
Drug,,14.8,%,14,%,24.8,%,15.4,%,13.8,%,13.9,%
,Drug possession,3.5,,3.2,,7.3,,4.1,,3.2,,3.2,
,Other/d,11.2,,10.7,,17.6,,11.3,,10.6,,10.7,
Public order,,11.9,%,12,%,10.2,%,12.4,%,11.2,%,13.1,%
,Weapons,4.2,,4.4,,1.7,,2.6,,5.4,,5.3,
,DUI,1.9,,1.9,,2.6,,2.7,,0.7,,2.6,
,Other/e,5.8,,5.7,,5.8,,7.1,,5,,5.1,
Other/unspecified/f,,0.6,%,0.6,%,1.1,%,0.8,%,0.4,%,0.4,%
,Total number of sentenced prisoners/g,"1,288,500",,"1,194,000",,"94,400",,"401,100",,"419,700",,"278,400",
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Estimates are based on state prisoners with a sentence of more than one year. Details may not sum to totals due to rounding and missing offense data. See Methodology.",,,,,,,,,,,,,
"a/Also includes Asians, Native Hawaiians, and Other Pacific Islanders; American Indians and Alaska Natives; and persons of two or more races.",,,,,,,,,,,,,
"b/Excludes persons of Hispanic/Latino origin (e.g., white refers to non-Hispanic white; black refers to non-Hispanic black). See Methodology.",,,,,,,,,,,,,
c/Includes non-negligent manslaughter.,,,,,,,,,,,,,
d/Includes trafficking and other drug offenses.,,,,,,,,,,,,,
"e/Includes court offenses; commercialized vice, morals, and decency offenses; liquor-law violations; probation and parole violations; and other public-order offenses.",,,,,,,,,,,,,
f/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,,,,,
g/Estimates are rounded to the nearest 100.,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2016; National Corrections Reporting Program, 2016; and Survey of Prison Inmates, 2016.",,,,,,,,,,,,,
