Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: p17t14.csv,,,,,,,,,,,,,
"Table 14. Prisoners who received a sentence of any length in the custody of publicly or privately operated federal correctional facilities, percentages by most serious offense, sex, race, and Hispanic origin, September 30, 2017",,,,,,,,,,,,,
Report title: Prisoners in 2017  NCJ 252156,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2017 (preliminary).",,,,,,,,,,,,,
"Authors: Jennifer Bronson, Ph.D., and E. Ann Carson, Ph.D., BJS Statisticians",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,
Date of version: 4/25/2019,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
"Table 14. Prisoners who received a sentence of any length in the custody of publicly or privately operated federal correctional facilities, percentages by most serious offense, sex, race, and Hispanic origin, September 30, 2017",,,,,,,,,,,,,
Most serious offense,,All prisoners/a,,Male,,Female,,"White/b,c",,"Black/b,c",,Hispanic/c,
,Total,100,%,100,%,100,%,100,%,100,%,100,%
Violent,,7.9,%,8.1,%,4.8,%,7,%,10.6,%,2.4,%
,Homicide/d,1.6,,1.7,,1.3,,0.7,,2.6,,0.4,
,Robbery,3.8,,4,,1.8,,4.5,,5.8,,1,
,Other,2.4,,2.5,,1.7,,1.8,,2.1,,1,
Property,,5.9,%,5.1,%,17.4,%,8.5,%,6.3,%,2.8,%
,Burglary,0.2,,0.2,,0.1,,0.1,,0.4,,0,
,Fraud,4.6,,3.9,,14.8,,6.7,,4.9,,2.4,
,Other,1,,1,,2.4,,1.7,,1,,0.4,
Drug/e,,47.3,%,46.6,%,56.8,%,37.5,%,46.9,%,58.2,%
Public order,,38.5,%,39.8,%,20.4,%,46.2,%,36,%,36.2,%
,Immigration/f,6.7,,6.9,,3.2,,0.6,,0.3,,19.9,
,Weapons,17,,17.9,,4.2,,14.3,,26.7,,8.5,
,Other/g,14.9,,15,,13,,31.3,,8.9,,7.8,
Other/unspecified/h,,0.4,%,0.4,%,0.6,%,0.8,%,0.3,%,0.3,%
,Total number of sentenced prisoners/i,"166,800",,"155,700",,"11,100",,"46,100",,"61,800",,"53,200",
"Note: Counts are based on prisoners who were convicted and sentenced to any length of time, including those sentenced to one year or less, in the custody of publicly or privately operated federal correctional facilities on September 30, 2017. Details may not sum to totals due to rounding. See Methodology.",,,,,,,,,,,,,
"a/Also includes Asians, Native Hawaiians, and Other Pacific Islanders; American Indians and Alaska Natives; and persons of two or more races.",,,,,,,,,,,,,
"b/Excludes persons of Hispanic/Latino origin (e.g., white refers to non-Hispanic white; black refers to non-Hispanic black). See Methodology.",,,,,,,,,,,,,
c/Race/Hispanic origin data are based on administrative data and self-reports from BJS surveys. ,,,,,,,,,,,,,
d/Includes murder and negligent and non-negligent manslaughter.,,,,,,,,,,,,,
"e/Includes trafficking, possession, and other drug offenses. More than 99% of federal drug offenders were sentenced for trafficking.",,,,,,,,,,,,,
"f/Includes illegal entry, smuggling and importing non-citizens, and holds for immigration officials.",,,,,,,,,,,,,
"g/Includes court offenses; commercialized vice, morals, and decency offenses; liquor-law violations; probation and parole violations; and other public-order offenses.",,,,,,,,,,,,,
h/Includes offenses not classified.,,,,,,,,,,,,,
i/Estimates are rounded to the nearest 100. ,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2017 (preliminary).",,,,,,,,,,,,,
