Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: p19t13.csv,,,,,,,,,,,,,
"Table 13. Percent of sentenced prisoners under the jurisdiction of state correctional authorities, by most serious offense, sex, and race or ethnicity, December 31, 2018",,,,,,,,,,,,,
Report title: Prisoners in 2019  NCJ 255115,,,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, National Corrections Reporting Program, 2018; National Prisoner Statistics, 2018; and Survey of Prison Inmates, 2016",,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,
Date of version: 10/22/2020,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 13. Percent of sentenced prisoners under the jurisdiction of state correctional authorities, by most serious offense, sex, and race or ethnicity, December 31, 2018",,,,,,,,,,,,,
Most serious offense,,All prisoners/a,,Male,,Female,,White/b,,Black/b,,Hispanic,
,Total,100,%,100,%,100,%,100,%,100,%,100,%
Violent,,55.5,%,57.9,%,38,%,48.3,%,61.9,%,61.6,%
,Murder/c,14.2,,14.6,,12,,10.7,,17.3,,19.2,
,Negligent manslaughter,1.5,,1.4,,2.8,,1.4,,0.9,,1.2,
,Rape/sexual assault,13,,14.1,,2.5,,16.6,,8.5,,12.7,
,Robbery,12.4,,13,,7.5,,6.9,,19.1,,9.9,
,Aggravated/simple assault,10.9,,11.2,,8.9,,9.3,,12.3,,13.5,
,Other,3.5,,3.5,,4.3,,3.4,,3.9,,4.9,
Property,,16,%,15.6,%,24.4,%,21.8,%,13.2,%,14.9,%
,Burglary,8.5,,8.8,,6.8,,10.6,,7.9,,7.1,
,Larceny/theft,3.1,,2.8,,7.6,,5.1,,2.6,,3.1,
,Motor-vehicle theft,0.8,,0.8,,1,,0.9,,0.5,,1.4,
,Fraud,1.8,,1.5,,6.5,,2.6,,1.1,,1.7,
,Other,1.8,,1.7,,2.5,,2.6,,1,,1.6,
Drug,,14.1,%,13.4,%,25.7,%,16.3,%,12.7,%,10.5,%
,Possession,3.7,,3.4,,8.5,,5.1,,3,,1.7,
,Other/d,10.4,,10,,17.2,,11.3,,9.7,,8.8,
Public order,,12.3,%,12.6,%,11.1,%,12.8,%,11.9,%,12.6,%
,Weapons,4.6,,4.9,,2,,2.9,,6,,4.2,
,DUI/DWI,1.7,,1.7,,2.5,,2.4,,0.7,,3.1,
,Other/e,5.9,,6,,6.6,,7.4,,5.1,,5.2,
Other/unspecified/f,,0.6,%,0.6,%,0.9,%,0.7,%,0.4,%,0.4,%
,Total number of sentenced prisoners/g,"1,249,700",,"1,156,800",,"92,900",,"394,800",,"409,600",,"274,300",
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Estimates are based on sentenced state prisoners. Details may not sum to totals due to rounding and missing offense data. See Methodology.",,,,,,,,,,,,,
"a/Also includes Asians, Native Hawaiians, other Pacific Islanders, American Indians, Alaska Natives, and persons of two or more races that are not broken out by race.",,,,,,,,,,,,,
"b/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks). See Methodology.",,,,,,,,,,,,,
c/Includes non-negligent manslaughter.,,,,,,,,,,,,,
"d/Includes trafficking, other drug offenses, and unspecified drug offenses.",,,,,,,,,,,,,
"e/Includes court offenses; commercialized vice, morals, and decency offenses; liquor-law violations; probation and parole violations; and other public-order offenses.",,,,,,,,,,,,,
f/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,,,,,
g/Estimates are rounded to the nearest 100.,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Corrections Reporting Program, 2018; National Prisoner Statistics, 2018; and Survey of Prison Inmates, 2016.",,,,,,,,,,,,,
