Bureau of Justice Statistics,,,,,,,
Filename: p19t14.csv,,,,,,,
"Table 14. Number of sentenced prisoners under the jurisdiction of state correctional authorities, by most serious offense, sex, and race or ethnicity, December 31, 2018",,,,,,,
Report title: Prisoners in 2019  NCJ 255115,,,,,,,
"Data Source: Bureau of Justice Statistics, National Corrections Reporting Program, 2018; National Prisoner Statistics, 2018; and Survey of Prison Inmates, 2016",,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,
Date of version: 10/22/2020,,,,,,,
,,,,,,,
"Table 14. Number of sentenced prisoners under the jurisdiction of state correctional authorities, by most serious offense, sex, and race or ethnicity, December 31, 2018",,,,,,,
Most serious offense,,All prisoners/a,Male,Female,White/b,Black/b,Hispanic
,Total,"1,249,700","1,156,800","92,900","394,800","409,600","274,300"
Violent,,"693,300","669,200","35,300","190,800","253,600","168,900"
,Murder/c,"177,700","169,400","11,100","42,400","70,800","52,800"
,Negligent manslaughter,"18,600","16,400","2,600","5,400","3,600","3,300"
,Rape/sexual assault,"162,700","163,000","2,300","65,600","34,800","35,000"
,Robbery,"155,000","150,500","7,000","27,100","78,200","27,300"
,Aggravated/simple assault,"135,900","129,800","8,300","36,900","50,300","37,100"
,Other,"43,500","40,300","4,000","13,500","15,900","13,500"
Property,,"199,700","180,300","22,700","86,100","53,900","41,000"
,Burglary,"106,500","101,900","6,300","41,700","32,400","19,600"
,Larceny/theft,"38,700","32,300","7,000","20,200","10,800","8,500"
,Motor-vehicle theft,"10,200","9,500","1,000","3,700","2,100","4,000"
,Fraud,"22,400","16,800","6,000","10,400","4,500","4,500"
,Other,"21,900","19,900","2,400","10,100","4,100","4,400"
Drug,,"176,300","155,400","23,900","64,500","52,100","28,800"
,Possession,"46,500","39,300","7,900","20,000","12,400","4,700"
,Other/d,"129,900","116,100","15,900","44,500","39,700","24,100"
Public order,,"153,100","145,300","10,300","50,500","48,600","34,500"
,Weapons,"58,000","57,100","1,900","11,400","24,600","11,600"
,DUI/DWI,"21,400","19,400","2,300","9,600","3,000","8,500"
,Other/e,"73,800","68,900","6,100","29,400","21,000","14,400"
Other/unspecified/f,,"7,300","6,600",800,"2,800","1,500","1,100"
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Estimates are based on sentenced state prisoners. Estimates are rounded to the nearest 100. Details may not sum to totals due to rounding and missing offense data. See Methodology.",,,,,,,
"a/Also includes Asians, Native Hawaiians, other Pacific Islanders, American Indians, Alaska Natives, and persons of two or more races that are not broken out by race.",,,,,,,
"b/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks). See Methodology.",,,,,,,
c/Includes non-negligent manslaughter.,,,,,,,
"d/Includes trafficking, other drug offenses, and unspecified drug offenses.",,,,,,,
"e/Includes court offenses; commercialized vice, morals, and decency offenses; liquor-law violations; probation and parole violations; and other public-order offenses.",,,,,,,
f/Includes juvenile offenses and other unspecified offense categories.,,,,,,,
"Source: Bureau of Justice Statistics, National Corrections Reporting Program, 2018; National Prisoner Statistics, 2018; and Survey of Prison Inmates, 2016.",,,,,,,
