Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: p19t15.csv,,,,,,,,,,,,,
"Table 15. Percent of sentenced federal prisoners held in publicly or privately operated correctional facilities, by most serious offense, sex, and race or ethnicity, September 30, 2019",,,,,,,,,,,,,
Report title: Prisoners in 2019  NCJ 255115,,,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2019 (preliminary)",,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,
Date of version: 10/22/2020,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 15. Percent of sentenced federal prisoners held in publicly or privately operated correctional facilities, by most serious offense, sex, and race or ethnicity, September 30, 2019",,,,,,,,,,,,,
Most serious offense,,All prisoners/a,,Male,,Female,,"White/b,c",,"Black/b,c",,Hispanic/c,
,Total,100,%,100,%,100,%,100,%,100,%,100,%
Violent,,7.7,%,8,%,4.1,%,6.4,%,10.2,%,2.7,%
,Homicide/d,1.7,,1.7,,1.3,,0.7,,2.6,,0.4,
,Robbery,3.5,,3.6,,1.4,,3.9,,5.4,,1,
,Sexual abuse,0.8,,0.9,,0.1,,0.7,,0.4,,0.2,
,Other,1.7,,1.7,,1.4,,1.1,,1.8,,1,
Property,,5.3,%,4.7,%,14.1,%,7.2,%,5.5,%,3,%
,Burglary,0.2,,0.2,,0.1,,0.1,,0.3,,0,
,Fraud/e,4.2,,3.6,,11.9,,5.7,,4.3,,2.6,
,Other/f,0.9,,0.8,,2.1,,1.4,,0.9,,0.4,
Drug/g,,46.3,%,45.3,%,59.2,%,38.1,%,43.3,%,59.8,%
Public order,,40.3,%,41.6,%,22.1,%,47.6,%,40.8,%,34.3,%
,Immigration/h,5.3,,5.4,,3.3,,0.5,,0.3,,16.1,
,Weapons,18.5,,19.6,,4.7,,14.6,,30.1,,9.3,
,Other/i,16.5,,16.6,,14.1,,32.4,,10.4,,8.8,
Other/unspecified/j,,0.4,%,0.4,%,0.4,%,0.6,%,0.3,%,0.2,%
,Total number of sentenced prisoners/k,"158,107",,"147,100",,"11,000",,"45,900",,"57,900",,"48,800",
"Note: Counts and percentages are based on prisoners who were convicted, sentenced to one year or more, and in the custody of publicly or privately operated federal correctional facilities on September 30, 2019. Details may not sum to totals due to rounding. See Methodology. As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons.",,,,,,,,,,,,,
"a/Also includes Asians, Native Hawaiians, other Pacific Islanders, American Indians, Alaska Natives, and persons of two or more races that are not broken out by race.",,,,,,,,,,,,,
"b/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks). See Methodology.",,,,,,,,,,,,,
c/Data on race or ethnicity are based on administrative data and self-reports from BJS surveys. ,,,,,,,,,,,,,
d/Includes murder and both negligent and non-negligent manslaughter.,,,,,,,,,,,,,
"e/Includes embezzlement, fraud, forgery, and counterfeiting.",,,,,,,,,,,,,
"f/Includes larceny, motor-vehicle theft, arson and explosives, transportation of stolen property, and other property offenses.",,,,,,,,,,,,,
"g/Includes trafficking, possession, and other drug offenses. More than 99% of federal drug offenders were sentenced for trafficking.",,,,,,,,,,,,,
"h/Includes illegal entry, smuggling and importing non-U.S. citizens, and holds for immigration officials.",,,,,,,,,,,,,
"i/Includes regulatory offenses; tax-law violations; bribery; perjury, contempt, and intimidation in U.S. courts; national-defense offenses; escape; racketeering and extortion; gambling; sexual offenses, excluding sexual abuse; offenses involving liquor, traffic, wildlife, and environmental matters; and all other public-order offenses.",,,,,,,,,,,,,
j/Includes offenses not classified.,,,,,,,,,,,,,
k/Estimates are rounded to the nearest 100. ,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2019 (preliminary).",,,,,,,,,,,,,
