Bureau of Justice Statistics,,,,,,,,,,,
Filename: p19t20.csv,,,,,,,,,,,
"Table 20. Percent of prisoners under the jurisdiction of military correctional authorities with any sentence length, by most serious offense and branch of service, December 31, 2019",,,,,,,,,,,
Report title: Prisoners in 2019  NCJ 255115,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, based on data from the Office of the Under Secretary of Defense for Personnel and Readiness, U.S. Department of Defense, 2019",,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,
Date of version: 10/22/2020,,,,,,,,,,,
,,,,,,,,,,,
"Table 20. Percent of prisoners under the jurisdiction of military correctional authorities with any sentence length, by most serious offense and branch of service, December 31, 2019",,,,,,,,,,,
Most serious offense,,Total/a,,U.S. Air Force,,U.S. Army,,U.S. Marine Corps,,U.S. Navy,
,Total,100,%,100,%,100,%,100,%,100,%
Violent offenses,,62.7,%,59.1,%,69.7,%,57.2,%,50,%
Non-violent offenses,,37.3,%,40.9,%,30.3,%,42.8,%,50,%
,Total,100,%,100,%,100,%,100,%,100,%
Sexual,,68.3,%,71.3,%,70.4,%,55.6,%,70.1,%
,Violent,45.9,,43,,51.7,,37.4,,39,
,Non-violent/b,22.5,,28.3,,18.6,,18.2,,31.2,
Other violent,,16.8,%,16.1,%,17.9,%,19.8,%,11,%
,Murder/c,7,,7.8,,8.4,,4.8,,3.9,
,Negligent manslaughter,0.5,,0.9,,0.3,,0.5,,0.6,
,Robbery,0.1,,0,,0.2,,0,,0,
,Aggravated/simple assault,7.6,,6.5,,6.6,,13.9,,5.8,
,Other,1.6,,0.9,,2.4,,0.5,,0.6,
Property,,3.3,%,0.9,%,1.9,%,8,%,6.5,%
,Burglary,0.3,,0,,0,,1.6,,0.6,
,Larceny/theft,2.1,,0.9,,1,,4.8,,4.5,
,Motor-vehicle theft,0,,0,,0,,0,,0,
,Fraud,0.3,,0,,0.3,,0,,1.3,
,Other,0.5,,0,,0.5,,1.6,,0,
Drug/d,,6.5,%,8.7,%,4.9,%,9.1,%,6.5,%
Public order,,0.3,%,0.4,%,0.2,%,0.5,%,0,%
Military,,2.9,%,1.7,%,2.4,%,4.3,%,4.5,%
Other/unspecified,,1.9,%,0.9,%,2.3,%,2.7,%,1.3,%
,Total number of prisoners,"1,153",,230,,574,,187,,154,
Note: Counts and percentages are based on prisoners sentenced to any length of time under military correctional authority. Excludes pre-trial detainees. U.S. Coast Guard offense distribution is not shown due to too few cases. Details may not sum to totals due to rounding.,,,,,,,,,,,
a/Includes prisoners who served in the U.S. Coast Guard.,,,,,,,,,,,
"b/Includes sexual harassment, indecent exposure, prostitution, stalking, and other non-violent sexual offenses.",,,,,,,,,,,
c/Includes non-negligent manslaughter.,,,,,,,,,,,
"d/Includes possession, use, trafficking, and other drug offenses.",,,,,,,,,,,
"Source: Bureau of Justice Statistics, based on data from the Office of the Under Secretary of Defense for Personnel and Readiness, U.S. Department of Defense, 2019.",,,,,,,,,,,
