Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: p20stt14.csv,,,,,,,,,,,,,,,,,
"Table 14. Percent of sentenced prisoners under the jurisdiction of state correctional authorities, by sex, race or ethnicity, and most serious offense, December 31, 2019",,,,,,,,,,,,,,,,,
Report title: Prisoners in 2020 – Statistical Tables NCJ 302776,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Corrections Reporting Program, 2019; National Prisoner Statistics, 2019; and Survey of Prison Inmates, 2016",,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,
Date of version: 12/14/2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 14. Percent of sentenced prisoners under the jurisdiction of state correctional authorities, by sex, race or ethnicity, and most serious offense, December 31, 2019",,,,,,,,,,,,,,,,,
Most serious offense,,All prisoners/a,,Male,,Female,,White/b,,Black/b,,Hispanic,,American Indian/Alaska Native/b,,"Asian/b,c",
,Total,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%
Violent,,58.2,%,59.7,%,39.6,%,49.8,%,63.9,%,66.1,%,56.2,%,62,%
,Murder/d,13.3,,13.5,,11.5,,10,,16.3,,12.8,,12.5,,15.5,
,Negligent manslaughter,1.6,,1.5,,3,,1.4,,0.9,,1.2,,1.4,,1.3,
,Rape/sexual assault,13.7,,14.6,,2.5,,17.1,,8.7,,16,,12.8,,14.2,
,Robbery,12.4,,12.8,,7.4,,6.7,,18.9,,12.4,,7.5,,9.8,
,Aggravated/simple assault,13.6,,13.8,,10.7,,11,,15.1,,19.9,,16.7,,15.6,
,Other,3.6,,3.6,,4.4,,3.5,,3.9,,3.7,,5.3,,5.7,
Property,,15.3,%,14.7,%,22.6,%,20.5,%,12.4,%,10.1,%,14.6,%,15.3,%
,Burglary,8.2,,8.4,,6.4,,9.9,,7.5,,6.1,,7.8,,6.6,
,Larceny/theft,3,,2.7,,7.2,,4.8,,2.4,,1.4,,2.4,,3.2,
,Motor vehicle theft,0.8,,0.8,,1.1,,0.9,,0.5,,0.9,,1.2,,2,
,Fraud,1.6,,1.2,,5.6,,2.5,,1,,0.7,,1.7,,1.8,
,Other,1.6,,1.6,,2.3,,2.3,,0.9,,1,,1.6,,1.6,
Drug,,14,%,13.1,%,26,%,16.6,%,12.2,%,11.7,%,10.9,%,11,%
,Possession,3.8,,3.4,,8.8,,5.3,,2.8,,3.3,,2.4,,1.5,
,Other/e,10.2,,9.6,,17.2,,11.3,,9.3,,8.4,,8.5,,9.5,
Public order,,11.9,%,12,%,10.9,%,12.3,%,11.1,%,11.7,%,17.8,%,11.3,%
,Weapons,4,,4.2,,1.3,,2.3,,5.3,,3.8,,4.1,,4.8,
,DUI/DWI,1.7,,1.6,,2.4,,2.4,,0.7,,2.4,,4.6,,1.3,
,Other/f,6.2,,6.1,,7.1,,7.5,,5.1,,5.5,,9,,5.2,
Other/unspecified/g,,0.6,%,0.6,%,1,%,0.8,%,0.4,%,0.4,%,0.5,%,0.5,%
,Total number of sentenced prisoners/h,"1,221,288",,"1,131,100",,"90,200",,"386,700",,"399,000",,"266,500",,"18,300",,"15,100",
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Estimates are based on sentenced state prisoners. Details may not sum to totals due to rounding and missing offense data. See Methodology.",,,,,,,,,,,,,,,,,
a/Includes persons of two or more races and other races that are not broken out.,,,,,,,,,,,,,,,,,
"b/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks). See Methodology.",,,,,,,,,,,,,,,,,
c/Includes Native Hawaiians and Other Pacific Islanders.,,,,,,,,,,,,,,,,,
d/Includes nonnegligent manslaughter.,,,,,,,,,,,,,,,,,
"e/Includes trafficking, other drug offenses, and unspecified drug offenses.",,,,,,,,,,,,,,,,,
"f/Includes court offenses; commercialized vice, morals, and decency offenses; liquor law violations; probation and parole violations; and other public order offenses.",,,,,,,,,,,,,,,,,
g/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,,,,,,,,,
h/Estimates are rounded to the nearest 100. ,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Corrections Reporting Program, 2019; National Prisoner Statistics, 2019; and Survey of Prison Inmates, 2016.",,,,,,,,,,,,,,,,,
