Bureau of Justice Statistics,,,,,,,,,
Filename: p20stt15.csv,,,,,,,,,
"Table 15. Number of sentenced prisoners under the jurisdiction of state correctional authorities, by sex, race or ethnicity, and most serious offense, December 31, 2019",,,,,,,,,
Report title: Prisoners in 2020 – Statistical Tables NCJ 302776,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Corrections Reporting Program, 2019; National Prisoner Statistics, 2019; and Survey of Prison Inmates, 2016",,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,
Date of version: 12/14/2021,,,,,,,,,
,,,,,,,,,
"Table 15. Number of sentenced prisoners under the jurisdiction of state correctional authorities, by sex, race or ethnicity, and most serious offense, December 31, 2019",,,,,,,,,
Most serious offense,,All prisoners/a,Male,Female,White/b,Black/b,Hispanic,American Indian/Alaska Native/b,"Asian/b,c"
,Total,"1,221,288","1,131,100","90,200","386,700","399,000","266,500","18,300","15,100"
Violent,,"710,800","675,200","35,700","192,600","255,000","176,000","10,300","9,400"
,Murder/d,"162,900","152,600","10,400","38,700","65,200","34,100","2,300","2,300"
,Negligent manslaughter,"19,200","16,500","2,700","5,600","3,400","3,300",300,200
,Rape/sexual assault,"167,800","165,500","2,300","66,100","34,900","42,600","2,300","2,100"
,Robbery,"151,000","144,300","6,700","26,000","75,500","33,200","1,400","1,500"
,Aggravated/simple assault,"165,700","156,000","9,700","42,600","60,200","53,000","3,100","2,400"
,Other,"44,200","40,300","4,000","13,600","15,700","9,800","1,000",900
Property,,"186,700","166,300","20,400","79,200","49,300","27,000","2,700","2,300"
,Burglary,"100,500","94,700","5,800","38,500","29,800","16,200","1,400","1,000"
,Larceny/theft,"37,000","30,500","6,500","18,600","9,700","3,900",400,500
,Motor vehicle theft,"10,300","9,300","1,000","3,500","2,200","2,500",200,300
,Fraud,"19,100","14,000","5,000","9,800","4,000","1,900",300,300
,Other,"19,800","17,700","2,000","8,800","3,600","2,600",300,200
Drug,,"171,300","147,800","23,400","64,300","48,600","31,100","2,000","1,700"
,Possession,"46,700","38,800","7,900","20,600","11,400","8,800",400,200
,Other/e,"124,600","109,000","15,500","43,700","37,300","22,300","1,600","1,400"
Public order,,"145,000","135,200","9,800","47,600","44,400","31,300","3,300","1,700"
,Weapons,"48,900","47,700","1,200","9,100","21,100","10,200",800,700
,DUI/DWI,"20,800","18,600","2,200","9,400","2,900","6,400",800,200
,Other/f,"75,300","68,900","6,400","29,100","20,500","14,700","1,700",800
Other/unspecified/g,,"7,500","6,600",900,"3,100","1,700","1,000",100,100
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Estimates are based on sentenced state prisoners. Estimates are rounded to the nearest 100. Details may not sum to totals due to rounding and missing offense data. See Methodology.",,,,,,,,,
a/Includes persons of two or more races and other races that are not broken out.,,,,,,,,,
"b/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks). See Methodology.",,,,,,,,,
c/Includes Native Hawaiians and Other Pacific Islanders.,,,,,,,,,
d/Includes nonnegligent manslaughter.,,,,,,,,,
"e/Includes trafficking, other drug offenses, and unspecified drug offenses.",,,,,,,,,
"f/Includes court offenses; commercialized vice, morals, and decency offenses; liquor law violations; probation and parole violations; and other public order offenses.",,,,,,,,,
g/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,
"Source: Bureau of Justice Statistics, National Corrections Reporting Program, 2019; National Prisoner Statistics, 2019; and Survey of Prison Inmates, 2016.",,,,,,,,,
