Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: p20stt17.csv,,,,,,,,,,,,,,,,,
"Table 17. Percent of sentenced federal prisoners held in BOP or privately operated correctional facilities, by sex, race or ethnicity, and most serious offense, September 30, 2020",,,,,,,,,,,,,,,,,
Report title: Prisoners in 2020 – Statistical Tables NCJ 302776,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2020 (preliminary)",,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,
Date of version: 12/14/2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 17. Percent of sentenced federal prisoners held in BOP or privately operated correctional facilities, by sex, race or ethnicity, and most serious offense, September 30, 2020",,,,,,,,,,,,,,,,,
Most serious offense,,All prisoners/a,,Male,,Female,,"White/b,c",,"Black/b,c",,Hispanic/c,,"American Indian/Alaska Native/b,c",,"Asian/b,c,d",
,Total,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%
Violent,,7.8,%,8.1,%,4.5,%,6.2,%,10.2,%,2.9,%,58.2,%,5,%
,Homicide/e,1.8,,1.8,,1.3,,0.7,,2.7,,0.5,,18.1,,1.4,
,Robbery,3.4,,3.6,,1.5,,3.6,,5.3,,1.2,,2.1,,1.7,
,Sexual abuse,0.9,,0.9,,0.2,,0.7,,0.4,,0.3,,19.6,,0.3,
,Other,1.7,,1.8,,1.5,,1.2,,1.8,,1.1,,18.4,,1.6,
Property,,4.7,%,4.2,%,12.4,%,6.4,%,4.8,%,2.7,%,3.5,%,12.5,%
,Burglary,0.2,,0.2,,0.1,,0.1,,0.3,,0,,1,,0,
,Fraud/f,3.7,,3.2,,10.6,,4.9,,3.7,,2.3,,0.8,,11,
,Other/g,0.9,,0.8,,1.7,,1.4,,0.8,,0.4,,1.6,,1.5,
Drug/h,,46.7,%,45.6,%,61.6,%,39.2,%,42.1,%,62,%,16.3,%,45.7,%
Public order,,40.5,%,41.9,%,21.2,%,47.7,%,42.7,%,32.2,%,21.6,%,36.2,%
,Immigration/i,4,,4.1,,2.1,,0.4,,0.2,,12.7,,0.4,,0.3,
,Weapons,19.5,,20.6,,5.2,,14.8,,31.8,,10,,12.2,,11.9,
,Other/j,17,,17.2,,13.9,,32.5,,10.7,,9.5,,9,,24,
Other/unspecified/k,,0.3,%,0.3,%,0.4,%,0.5,%,0.3,%,0.2,%,0.5,%,0.7,%
,Total number of sentenced prisoners/l,"144,553",,"134,784",,"9,769",,"42,900",,"53,300",,"43,200",,"3,200",,"2,000",
"Note: Counts and percentages are based on prisoners who were convicted, sentenced to 1 year or more, and in the custody of BOP facilities or private prisons under contract with the BOP on September 30, 2020. Details may not sum to totals due to rounding. See Methodology. As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons.",,,,,,,,,,,,,,,,,
a/Includes persons of two or more races or other races that are not broken out.,,,,,,,,,,,,,,,,,
"b/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks). See Methodology.",,,,,,,,,,,,,,,,,
c/Data on race or ethnicity are based on administrative data and self-reports from BJS surveys. ,,,,,,,,,,,,,,,,,
d/Includes Native Hawaiians and Other Pacific Islanders.,,,,,,,,,,,,,,,,,
e/Includes murder and both negligent and nonnegligent manslaughter.,,,,,,,,,,,,,,,,,
"f/Includes embezzlement, fraud, forgery, and counterfeiting.",,,,,,,,,,,,,,,,,
"g/Includes larceny, motor vehicle theft, arson and explosives, transportation of stolen property, and other property offenses.",,,,,,,,,,,,,,,,,
"h/Includes trafficking, possession, and other drug offenses. ",,,,,,,,,,,,,,,,,
"i/Includes illegal entry, smuggling and importing non-U.S. citizens, and holds for immigration officials.",,,,,,,,,,,,,,,,,
"j/Includes regulatory offenses; tax law violations; bribery; perjury, contempt, and intimidation in U.S. courts; national defense offenses; escape; racketeering and extortion; gambling; sexual offenses, excluding sexual abuse; offenses involving liquor, traffic, wildlife, and environmental matters; and all other public order offenses.",,,,,,,,,,,,,,,,,
k/Includes offenses not classified.,,,,,,,,,,,,,,,,,
l/Estimates of race or ethnicity are rounded to the nearest 100. ,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2020 (preliminary).",,,,,,,,,,,,,,,,,
