Bureau of Justice Statistics,,,,,,,,,
Filename: p20stt18.csv,,,,,,,,,
"Table 18. Number of sentenced federal prisoners held in BOP or privately operated correctional facilities, by sex, race or ethnicity, and most serious offense, September 30, 2020",,,,,,,,,
Report title: Prisoners in 2020 – Statistical Tables NCJ 302776,,,,,,,,,
"Data source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2020 (preliminary)",,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,
Date of version: 12/14/2021,,,,,,,,,
,,,,,,,,,
"Table 18. Number of sentenced federal prisoners held in BOP or privately operated correctional facilities, by sex, race or ethnicity, and most serious offense, September 30, 2020",,,,,,,,,
Most serious offense,,All prisoners/a,Male,Female,"White/b,c","Black/b,c",Hispanic/c,"American Indian/Alaska Native/b,c","Asian/b,c,d"
,Total/e,"144,553","134,784","9,769","42,900","53,300","43,200","3,200","2,000"
Violent,,"11,303","10,900",300,"2,700","5,300","1,300","1,900",#
,Homicide/f,"2,551","2,400",100,300,"1,400",200,600,#
,Robbery,"4,958","4,800",100,"1,600","2,800",500,100,#
,Sexual abuse,"1,278","1,300",#,300,200,100,600,#
,Other,"2,516","2,400",100,500,900,500,600,#
Property,,"6,819","5,600","1,200","2,700","2,600","1,200",100,200
,Burglary,254,200,#,#,200,#,#,0
,Fraud/g,"5,295","4,300","1,000","2,100","2,000","1,000",#,200
,Other/h,"1,270","1,100",200,600,400,200,100,#
Drug/i,,"67,438","61,400","6,000","16,800","22,400","26,800",500,900
Public order,,"58,503","56,500","2,100","20,500","22,700","13,900",700,700
,Immigration/j,"5,764","5,600",200,200,100,"5,500",#,#
,Weapons,"28,210","27,700",500,"6,300","16,900","4,300",400,200
,Other/k,"24,529","23,200","1,400","14,000","5,700","4,100",300,500
Other/unspecified/l,,490,500,#,200,100,100,#,#
"Note: Counts are based on prisoners who were convicted, sentenced to 1 year or more, and in the custody of publicly or BOP facilities or private prisons under contract with the BOP on September 30, 2020. Estimates are rounded to the nearest 100. Details may not sum to totals due to rounding. See Methodology. As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons.",,,,,,,,,
 #Rounds to zero.,,,,,,,,,
a/Also includes persons of two or more races or other races that are not broken out.,,,,,,,,,
"b/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks). See Methodology.",,,,,,,,,
c/Data on race or ethnicity are not adjusted to self-reported data.,,,,,,,,,
d/Includes Native Hawaiians and Other Pacific Islanders.,,,,,,,,,
e/Totals for race or ethnicity are rounded to the nearest 100.,,,,,,,,,
f/Includes murder and both negligent and nonnegligent manslaughter.,,,,,,,,,
"g/Includes embezzlement, fraud, forgery, and counterfeiting.",,,,,,,,,
"h/Includes larceny, motor vehicle theft, arson and explosives, transportation of stolen property, and other property offenses.",,,,,,,,,
"i/Includes trafficking, possession, and other drug offenses. ",,,,,,,,,
"j/Includes illegal entry, smuggling and importing non-U.S. citizens, and holds for immigration officials.",,,,,,,,,
"k/Includes regulatory offenses; tax law violations; bribery; perjury, contempt, and intimidation in U.S. courts; national defense offenses; escape; racketeering and extortion; gambling; sexual offenses, excluding sexual abuse; offenses involving liquor, traffic, wildlife, and environmental matters; and all other public order offenses.",,,,,,,,,
l/Includes offenses not classified.,,,,,,,,,
"Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2020 (preliminary).",,,,,,,,,
