Bureau of Justice Statistics,,,,,,,,,,,
Filename: p20stt22.csv,,,,,,,,,,,
"Table 22. Percent of prisoners under the jurisdiction of military correctional authorities with any sentence length, by branch of service and most serious offense, December 31, 2020",,,,,,,,,,,
Report title: Prisoners in 2020 – Statistical Tables NCJ 302776,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, based on data from the Office of the Under Secretary of Defense for Personnel and Readiness, U.S. Department of Defense, 2020",,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,
Date of version: 12/14/2021,,,,,,,,,,,
,,,,,,,,,,,
"Table 22. Percent of prisoners under the jurisdiction of military correctional authorities with any sentence length, by branch of service and most serious offense, December 31, 2020",,,,,,,,,,,
Most serious offense,,Total/a,,U.S. Air Force,,U.S. Army,,U.S. Marine Corps,,U.S. Navy,
,Total,100,%,100,%,100,%,100,%,100,%
Violent offenses,,57.9,%,52.3,%,61,%,62.7,%,49.6,%
Nonviolent offenses,,42.1,%,47.7,%,39,%,37.3,%,50.4,%
,Total,100,%,100,%,100,%,100,%,100,%
Sexual,,71.1,%,73.6,%,73.4,%,58,%,72.5,%
,Violent,41.1,,37.7,,44,,37.9,,39.7,
,Nonviolent/b,30,,35.9,,29.4,,20.1,,32.8,
Other violent,,16.8,%,14.5,%,17,%,24.9,%,9.9,%
,Murder/c,7.8,,8.2,,9.4,,4.7,,4.6,
,Negligent manslaughter,0.9,,0.9,,0.2,,3.6,,0.8,
,Robbery,0.1,,0,,0.2,,0,,0,
,Aggravated/simple assault,6.5,,5,,5.2,,14.2,,4.6,
,Other,1.5,,0.5,,2,,2.4,,0,
Property,,2.4,%,1.8,%,2,%,3.6,%,3.8,%
,Burglary,0.7,,0.5,,1.3,,0,,0,
,Larceny/theft,1.2,,1.4,,0.2,,3,,3.1,
,Motor vehicle theft,0,,0,,0,,0,,0,
,Fraud,0.3,,0,,0.4,,0,,0.8,
,Other,0.2,,0,,0.2,,0.6,,0,
Drug/d,,5.2,%,6.4,%,3,%,8.3,%,9.2,%
Public order,,1.4,%,1.8,%,1.5,%,1.2,%,0.8,%
Military,,2.4,%,1.4,%,2.6,%,2.4,%,3.8,%
Other/unspecified,,0.7,%,0.5,%,0.6,%,1.8,%,0,%
,Total number of prisoners,"1,068",,220,,541,,169,,131,
Note: Counts and percentages are based on prisoners sentenced to any length of time under military correctional authority. Excludes pretrial detainees. U.S. Coast Guard offense distribution is not shown due to too few cases. Details may not sum to totals due to rounding.,,,,,,,,,,,
a/Includes prisoners who served in the U.S. Coast Guard.,,,,,,,,,,,
"b/Includes sexual harassment, indecent exposure, prostitution, stalking, and other nonviolent sexual offenses.",,,,,,,,,,,
c/Includes nonnegligent manslaughter.,,,,,,,,,,,
"d/Includes possession, use, trafficking, and other drug offenses.",,,,,,,,,,,
"Source: Bureau of Justice Statistics, based on data from the Office of the Under Secretary of Defense for Personnel and Readiness, U.S. Department of Defense, 2020.",,,,,,,,,,,
