Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: p21stt16.csv,,,,,,,,,,,,,,,,,
"Table 16. Percent of sentenced prisoners under the jurisdiction of state correctional authorities, by sex, race or Hispanic origin, and most serious offense, December 31, 2020",,,,,,,,,,,,,,,,,
Report title: Prisoners in 2021 – Statistical Tables  NCJ 305125,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Corrections Reporting Program, 2020; National Prisoner Statistics, 2020; and Survey of Prison Inmates, 2016",,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, PhD, BJS Statistician",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,
Date of version: 12/20/2022,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 16. Percent of sentenced prisoners under the jurisdiction of state correctional authorities, by sex, race or Hispanic origin, and most serious offense, December 31, 2020",,,,,,,,,,,,,,,,,
Most serious offense,,All prisoners/a,,Male,,Female,,White/b,,Black/b,,Hispanic,,American Indian/Alaska Native/b,,"Asian/b,c",
,Total,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%
Violent,,62.4,%,63.9,%,45,%,54.6,%,67.9,%,79.2,%,60.4,%,70.5,%
,Murder/d,15,,15.2,,14.3,,11.5,,18.2,,17.2,,14.6,,18.9,
,Negligent manslaughter,1.8,,1.6,,3.8,,1.6,,1,,1.3,,1.3,,1.4,
,Rape/sexual assault,15.5,,16.4,,3.1,,19.6,,9.7,,15.9,,14.2,,17.9,
,Robbery,12.5,,12.9,,7.7,,6.7,,19.3,,11.7,,7.4,,9.1,
,Aggravated/simple assault,13.9,,14.1,,11.5,,11.5,,15.4,,28.8,,17.7,,17.6,
,Other,3.8,,3.7,,4.7,,3.7,,4.1,,4.3,,5.2,,5.6,
Property,,13.5,%,13.1,%,19.3,%,18.5,%,10.9,%,8,%,13.1,%,10.8,%
,Burglary,7.6,,7.8,,6,,9.3,,7,,5.4,,7.1,,4.9,
,Larceny/theft,2.5,,2.3,,6,,4.2,,2,,1,,2,,2.2,
,Motor vehicle theft,0.7,,0.7,,0.9,,0.8,,0.4,,0.4,,0.9,,1,
,Fraud,1.2,,1,,4.5,,2.1,,0.8,,0.4,,1.6,,1.3,
,Other,1.4,,1.4,,2,,2.1,,0.8,,0.8,,1.6,,1.3,
Drug,,12.6,%,11.8,%,24.7,%,15.1,%,10.8,%,6.4,%,10.4,%,8.7,%
,Possession,3.2,,2.9,,7.6,,4.5,,2.3,,1.3,,2.3,,1.2,
,Other/e,9.4,,8.8,,17.1,,10.6,,8.5,,5.1,,8.2,,7.4,
Public order,,10.5,%,10.5,%,9.9,%,11,%,10,%,6.1,%,15.5,%,9.6,%
,Weapons,3.7,,3.9,,1.3,,2.2,,4.9,,2.9,,3.4,,3.3,
,DUI/DWI,1.4,,1.4,,2.2,,2.1,,0.6,,0.8,,4.2,,1.1,
,Other/f,5.3,,5.3,,6.3,,6.7,,4.5,,2.5,,7.9,,5.2,
Other/unspecified/g,,0.7,%,0.6,%,1.1,%,0.8,%,0.4,%,0.3,%,0.6,%,0.5,%
,Number of sentenced prisoners/h,"1,043,705",,"973,343",,"70,362",,"327,300",,"345,500",,"226,800",,"15,900",,"12,500",
"Note: Jurisdiction refers to the legal authority of state correctional officials over a prisoner, regardless of where the prisoner is held. Percentages and counts are based on persons with a sentence of more than 1 year in prison. Details may not sum to totals due to rounding and missing offense data. See Methodology.",,,,,,,,,,,,,,,,,
a/Includes persons of two or more races and other races that are not broken out.,,,,,,,,,,,,,,,,,
"b/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic white persons and “black” refers to non-Hispanic black persons). ",,,,,,,,,,,,,,,,,
"c/Includes Asians, Native Hawaiians, and Other Pacific Islanders.",,,,,,,,,,,,,,,,,
d/Includes nonnegligent manslaughter.,,,,,,,,,,,,,,,,,
"e/Includes trafficking, other drug offenses, and unspecified drug offenses.",,,,,,,,,,,,,,,,,
"f/Includes court offenses; commercialized vice, morals, and decency offenses; liquor law violations; probation and parole violations; and other public order offenses.",,,,,,,,,,,,,,,,,
g/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,,,,,,,,,
h/Estimates for race or Hispanic origin are rounded to the nearest 100. ,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Corrections Reporting Program, 2020; National Prisoner Statistics, 2020; and Survey of Prison Inmates, 2016.",,,,,,,,,,,,,,,,,
