Bureau of Justice Statistics,,,,,,,,,
Filename: p21stt17.csv,,,,,,,,,
"Table 17. Number of sentenced prisoners under the jurisdiction of state correctional authorities, by sex, race or Hispanic origin, and most serious offense, December 31, 2020",,,,,,,,,
Report title: Prisoners in 2021 – Statistical Tables  NCJ 305125,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Corrections Reporting Program, 2020; National Prisoner Statistics, 2020; and Survey of Prison Inmates, 2016",,,,,,,,,
"Author: E. Ann Carson, PhD, BJS Statistician",,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,
Date of version: 12/20/2022,,,,,,,,,
,,,,,,,,,
"Table 17. Number of sentenced prisoners under the jurisdiction of state correctional authorities, by sex, race or Hispanic origin, and most serious offense, December 31, 2020",,,,,,,,,
Most serious offense,,All prisoners/a,Male,Female,White/b,Black/b,Hispanic,American Indian/Alaska Native/b,"Asian/b,c"
,Total,"1,043,705","973,343","70,362","327,300","345,500","226,800","15,900","12,500"
Violent,,"651,800","622,200","31,700","178,600","234,500","179,500","9,600","8,800"
,Murder/d,"157,000","147,500","10,000","37,600","63,000","39,100","2,300","2,400"
,Negligent manslaughter,"18,600","16,000","2,600","5,400","3,600","2,900",200,200
,Rape/sexual assault,"161,500","159,800","2,200","64,100","33,500","36,000","2,300","2,200"
,Robbery,"130,800","125,800","5,400","21,900","66,800","26,500","1,200","1,100"
,Aggravated/simple assault,"144,600","137,000","8,100","37,500","53,300","65,300","2,800","2,200"
,Other,"39,300","36,100","3,300","12,200","14,200","9,700",800,700
Property,,"141,100","127,900","13,600","60,500","37,800","18,100","2,100","1,400"
,Burglary,"79,800","75,900","4,200","30,500","24,200","12,300","1,100",600
,Larceny/theft,"26,400","22,300","4,200","13,800","6,800","2,200",300,300
,Motor vehicle theft,"7,000","6,400",600,"2,500","1,500","1,000",100,100
,Fraud,"12,900","9,800","3,200","6,900","2,600",900,300,200
,Other,"15,000","13,600","1,400","6,700","2,700","1,700",200,200
Drug,,"131,600","114,600","17,400","49,500","37,300","14,600","1,700","1,100"
,Possession,"33,700","28,500","5,300","14,800","7,900","3,000",400,200
,Other/e,"97,800","86,100","12,000","34,700","29,400","11,600","1,300",900
Public order,,"109,100","102,500","6,900","35,900","34,500","13,800","2,500","1,200"
,Weapons,"38,600","37,800",900,"7,200","16,900","6,500",500,400
,DUI/DWI,"15,000","13,400","1,600","6,800","2,000","1,800",700,100
,Other/f,"55,500","51,200","4,400","21,900","15,700","5,600","1,300",700
Other/unspecified/g,,"6,800","6,100",800,"2,700","1,500",700,100,100
"Note: Jurisdiction refers to the legal authority of state correctional officials over a prisoner, regardless of where the prisoner is held. Counts are based on persons with a sentence of more than 1 year in prison and are rounded to the nearest 100. Details may not sum to totals due to rounding and missing offense data. See Methodology.",,,,,,,,,
a/Includes persons of two or more races and other races that are not broken out.,,,,,,,,,
"b/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic white persons and “black” refers to non-Hispanic black persons). ",,,,,,,,,
"c/Includes Asians, Native Hawaiians, and Other Pacific Islanders.",,,,,,,,,
d/Includes nonnegligent manslaughter.,,,,,,,,,
"e/Includes trafficking, other drug offenses, and unspecified drug offenses.",,,,,,,,,
"f/Includes court offenses; commercialized vice, morals, and decency offenses; liquor law violations; probation and parole violations; and other public order offenses.",,,,,,,,,
g/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,
"Source: Bureau of Justice Statistics, National Corrections Reporting Program, 2020; National Prisoner Statistics, 2020; and Survey of Prison Inmates, 2016.",,,,,,,,,
