Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: p21stt19.csv,,,,,,,,,,,,,,,,,
"Table 19. Percent of sentenced federal prisoners held in BOP or privately operated correctional facilities, by sex, race or Hispanic origin, and most serious offense, September 30, 2021",,,,,,,,,,,,,,,,,
Report title: Prisoners in 2021 – Statistical Tables  NCJ 305125,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2021 (preliminary)",,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, PhD, BJS Statistician",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,
Date of version: 12/20/2022,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 19. Percent of sentenced federal prisoners held in BOP or privately operated correctional facilities, by sex, race or Hispanic origin, and most serious offense, September 30, 2021",,,,,,,,,,,,,,,,,
Most serious offense,,All prisoners/a,,Male,,Female,,"White/b,c",,"Black/b,c",,Hispanic/c,,"American Indian/Alaska Native/b,c",,"Asian/b,c,d",
,Total,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%
Violent,,7.4,%,7.7,%,4.2,%,5.7,%,9.5,%,2.9,%,56.8,%,5.1,%
,Homicide/e,1.7,,1.7,,1.3,,0.7,,2.6,,0.5,,17.6,,1.5,
,Robbery,3.1,,3.3,,1.2,,3.2,,4.9,,1.1,,2.1,,1.7,
,Sexual abuse,0.9,,0.9,,0.2,,0.7,,0.4,,0.3,,19.4,,0.5,
,Other,1.7,,1.7,,1.6,,1.1,,1.7,,1.1,,17.8,,1.5,
Property,,4.2,%,3.7,%,10.6,%,5.7,%,4.3,%,2.2,%,3,%,11.6,%
,Burglary,0.2,,0.2,,0.1,,0.1,,0.3,,0,,0.9,,0.1,
,Fraud/f,3.2,,2.8,,9.2,,4.3,,3.4,,1.8,,0.9,,10,
,Other/g,0.8,,0.8,,1.4,,1.3,,0.7,,0.4,,1.3,,1.5,
Drug/h,,46.7,%,45.4,%,64.1,%,40.4,%,41.6,%,61.6,%,17.2,%,46.3,%
Public order,,41.4,%,42.9,%,20.8,%,47.7,%,44.3,%,33.1,%,22.5,%,36.5,%
,Immigration/i,4.2,,4.3,,2.4,,0.4,,0.3,,13.3,,0.5,,0.2,
,Weapons,20.1,,21.1,,5.4,,14.7,,33.3,,10.3,,13,,11.6,
,Other/j,17.1,,17.4,,13,,32.6,,10.8,,9.5,,9,,24.7,
Other/unspecified/k,,0.3,%,0.3,%,0.4,%,0.5,%,0.3,%,0.2,%,0.4,%,0.5,%
,Number of sentenced prisoners/l,"142,298",,"132,478",,"9,820",,"42,900",,"51,800",,"42,300",,"3,300",,"2,000",
"Note: Percentages and counts are based on prisoners who were convicted, sentenced to 1 year or more, and in the custody of Federal Bureau of Prisons (BOP) facilities or private prisons under contract with the BOP on September 30, 2021. Details may not sum to totals due to rounding. See Methodology. As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the BOP.",,,,,,,,,,,,,,,,,
a/Includes persons of two or more races or other races that are not broken out.,,,,,,,,,,,,,,,,,
"b/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic white persons and “black” refers to non-Hispanic black persons). ",,,,,,,,,,,,,,,,,
c/Data on race or Hispanic origin are based on administrative data and self-reports from BJS surveys. ,,,,,,,,,,,,,,,,,
"d/Includes Asians, Native Hawaiians, and Other Pacific Islanders.",,,,,,,,,,,,,,,,,
e/Includes murder and both negligent and nonnegligent manslaughter.,,,,,,,,,,,,,,,,,
"f/Includes embezzlement, fraud, forgery, and counterfeiting.",,,,,,,,,,,,,,,,,
"g/Includes larceny, motor vehicle theft, arson and explosives, transportation of stolen property, and other property offenses.",,,,,,,,,,,,,,,,,
"h/Includes trafficking, possession, and other drug offenses. ",,,,,,,,,,,,,,,,,
"i/Includes illegal entry, smuggling and importing non-U.S. citizens, and holds for immigration officials.",,,,,,,,,,,,,,,,,
"j/Includes regulatory offenses; tax law violations; bribery; perjury, contempt, and intimidation in U.S. courts; national defense offenses; escape; racketeering and extortion; gambling; sexual offenses, excluding sexual abuse; offenses involving liquor, traffic, wildlife, and environmental matters; and all other public order offenses.",,,,,,,,,,,,,,,,,
k/Includes offenses not classified.,,,,,,,,,,,,,,,,,
l/Estimates of race or Hispanic origin are rounded to the nearest 100. ,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2021 (preliminary).",,,,,,,,,,,,,,,,,
