Bureau of Justice Statistics,,,,,,,,,
Filename: p21stt20.csv,,,,,,,,,
"Table 20. Number of sentenced federal prisoners held in BOP or privately operated correctional facilities, by sex, race or Hispanic origin, and most serious offense, September 30, 2021",,,,,,,,,
Report title: Prisoners in 2021 – Statistical Tables  NCJ 305125,,,,,,,,,
"Data source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2021 (preliminary)",,,,,,,,,
"Author: E. Ann Carson, PhD, BJS Statistician",,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,
Date of version: 12/20/2022,,,,,,,,,
,,,,,,,,,
"Table 20. Number of sentenced federal prisoners held in BOP or privately operated correctional facilities, by sex, race or Hispanic origin, and most serious offense, September 30, 2021",,,,,,,,,
Most serious offense,,All prisoners/a,Male,Female,"White/b,c","Black/b,c",Hispanic/c,"American Indian/Alaska Native/b,c","Asian/b,c,d"
,Total/e,"142,298","132,478","9,820","42,900","51,800","42,300","3,300","2,000"
Violent,,"10,547","10,100",400,"2,400","4,900","1,200","1,900",100
,Homicide/f,"2,426","2,300",100,300,"1,300",200,600,#
,Robbery,"4,448","4,300",100,"1,400","2,500",500,100,#
,Sexual abuse,"1,261","1,200",#,300,200,100,600,#
,Other,"2,412","2,300",200,500,900,500,600,#
Property,,"5,950","4,900","1,000","2,400","2,200",900,100,200
,Burglary,224,200,#,#,100,#,#,#
,Fraud/g,"4,552","3,700",900,"1,800","1,700",800,#,200
,Other/h,"1,174","1,000",100,600,400,200,#,#
Drug/i,,"66,474","60,200","6,300","17,400","21,500","26,100",600,900
Public order,,"58,894","56,900","2,000","20,500","22,900","14,000",700,700
,Immigration/j,"5,975","5,700",200,200,100,"5,600",#,#
,Weapons,"28,537","28,000",500,"6,300","17,200","4,300",400,200
,Other/k,"24,382","23,100","1,300","14,000","5,600","4,000",300,500
Other/unspecified/l,,433,400,#,200,100,100,#,#
"Note: Counts are based on prisoners who were convicted, sentenced to 1 year or more, and in the custody of Federal Bureau of Prisons (BOP) facilities or private prisons under contract with the BOP on September 30, 2021. Estimates are rounded to the nearest 100. Details may not sum to totals due to rounding. See Methodology. As of December 31, 2001, persons sentenced for a felony in the District of Columbia were the responsibility of the BOP.",,,,,,,,,
#Rounds to zero.,,,,,,,,,
a/Includes persons of two or more races or other races that are not broken out.,,,,,,,,,
"b/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic white persons and “black” refers to non-Hispanic black persons). ",,,,,,,,,
c/Data on race or Hispanic origin are based on administrative data and self-reports from BJS surveys.,,,,,,,,,
"d/Includes Asians, Native Hawaiians, and Other Pacific Islanders.",,,,,,,,,
e/Totals for race or Hispanic origin are rounded to the nearest 100.,,,,,,,,,
f/Includes murder and both negligent and nonnegligent manslaughter.,,,,,,,,,
"g/Includes embezzlement, fraud, forgery, and counterfeiting.",,,,,,,,,
"h/Includes larceny, motor vehicle theft, arson and explosives, transportation of stolen property, and other property offenses.",,,,,,,,,
"i/Includes trafficking, possession, and other drug offenses. ",,,,,,,,,
"j/Includes illegal entry, smuggling and importing non-U.S. citizens, and holds for immigration officials.",,,,,,,,,
"k/Includes regulatory offenses; tax law violations; bribery; perjury, contempt, and intimidation in U.S. courts; national defense offenses; escape; racketeering and extortion; gambling; sexual offenses, excluding sexual abuse; offenses involving liquor, traffic, wildlife, and environmental matters; and all other public order offenses.",,,,,,,,,
l/Includes offenses not classified.,,,,,,,,,
"Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2021 (preliminary).",,,,,,,,,
