Bureau of Justice Statistics,,,,,,,,,,,
Filename: p21stt24.csv,,,,,,,,,,,
"Table 24. Percent of prisoners under the jurisdiction of military correctional authorities with any sentence length, by branch of service and most serious offense, December 31, 2021",,,,,,,,,,,
Report title: Prisoners in 2021 – Statistical Tables  NCJ 305125,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, based on data from the Office of the Under Secretary of Defense for Personnel and Readiness, U.S. Department of Defense, 2021",,,,,,,,,,,
"Author: E. Ann Carson, PhD, BJS Statistician",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,
Date of version: 12/20/2022,,,,,,,,,,,
,,,,,,,,,,,
"Table 24. Percent of prisoners under the jurisdiction of military correctional authorities with any sentence length, by branch of service and most serious offense, December 31, 2021",,,,,,,,,,,
Most serious offense,,Total/a,,U.S. Air Force,,U.S. Army,,U.S. Marine Corps,,U.S. Navy,
,Total,100,%,100,%,100,%,100,%,100,%
Violent offenses,,57.8,%,57.7,%,64.1,%,44.3,%,51.7,%
Nonviolent offenses,,42.2,%,42.3,%,35.9,%,55.7,%,48.3,%
,Total,100,%,100,%,100,%,100,%,100,%
Sexual,,72.4,%,73.6,%,75,%,63.5,%,71.7,%
,Violent,41.2,,37.3,,46.9,,30.5,,39.2,
,Nonviolent/b,31.2,,36.3,,28.1,,32.9,,32.5,
Other violent,,16.6,%,20.4,%,17.2,%,13.8,%,12.5,%
,Murder/c,8.1,,8.5,,10.1,,5.4,,3.3,
,Negligent manslaughter,1.2,,1.5,,0.2,,2.4,,3.3,
,Robbery,0.1,,0,,0.2,,0,,0,
,Aggravated/simple assault,5.4,,8,,4.6,,4.8,,5.8,
,Other,1.8,,2.5,,2.1,,1.2,,0,
Property,,2.4,%,1,%,2.3,%,4.2,%,2.5,%
,Burglary,0.3,,0,,0.4,,0.6,,0,
,Larceny/theft,0.6,,1,,0.4,,1.2,,0,
,Motor vehicle theft,0,,0,,0,,0,,0,
,Fraud,0.2,,0,,0.2,,0.6,,0,
,Other,1.3,,0,,1.3,,1.8,,2.5,
Drug/d,,4.9,%,1.5,%,3.4,%,13.2,%,5,%
Public order,,1.1,%,2,%,0.6,%,1.2,%,0.8,%
Military,,2.1,%,1,%,1.3,%,3.6,%,5,%
Other/unspecified,,0.6,%,0.5,%,0.2,%,0.6,%,2.5,%
,Number of prisoners,"1,019",,201,,524,,167,,120,
Note: Percentages and counts are based on prisoners sentenced to any length of time under military correctional authority. Excludes pretrial detainees. U.S. Coast Guard offense distribution is not shown due to a small number of cases. Details may not sum to totals due to rounding.,,,,,,,,,,,
a/Includes prisoners who served in the U.S. Coast Guard and the U.S. Space Force.,,,,,,,,,,,
"b/Includes sexual harassment, indecent exposure, prostitution, stalking, and other nonviolent sexual offenses.",,,,,,,,,,,
c/Includes nonnegligent manslaughter.,,,,,,,,,,,
"d/Includes possession, use, trafficking, and other drug offenses.",,,,,,,,,,,
"Source: Bureau of Justice Statistics, based on data from the Office of the Under Secretary of Defense for Personnel and Readiness, U.S. Department of Defense, 2021.",,,,,,,,,,,
